pattern_name,category,problem_tags,description,key_widgets,code_snippet,anti_pattern
Path Provider (File Storage),Data,"file, path, directory, lưu file","Lấy đường dẫn thư mục chuẩn để lưu file tạm hoặc file document.","path_provider","final directory = await getApplicationDocumentsDirectory(); final file = File('${directory.path}/my_file.txt');","Hardcode đường dẫn `/sdcard/...` (lỗi trên Android mới và iOS)."
Hive Database Setup,Data,"nosql, db, local, storage, cơ sở dữ liệu","Thiết lập DB NoSQL Hive nhanh và nhẹ.","hive_flutter","await Hive.initFlutter(); var box = await Hive.openBox('settings'); box.put('darkMode', true);","Mở box nhiều lần mà không kiểm tra đã mở chưa (`Hive.isBoxOpen`)."
Logger Utility,Logic,"log, debug, print, nhật ký","In log đẹp, có màu và tag để dễ debug.","logger","var logger = Logger(); logger.d('Debug message'); logger.e('Error message');","Dùng `print` cho mọi thứ (khó lọc log và làm rác console production)."
Extension Methods (String),Logic,"extension, utility, string, tiện ích","Thêm hàm tiện ích trực tiếp vào lớp String (ví dụ validate email).","dart extension","extension StringExt on String { bool get isValidEmail => RegExp(r'^[\w-\.]+@([\w-]+\.)+[\w-]{2,4}$').hasMatch(this); }","Viết các hàm Utils static rời rạc khó gọi (`Utils.isValidEmail(str)`)."
GetIt Service Locator,Architecture,"di, singleton, service, quản lý dịch vụ","Đăng ký và lấy các service (API, Auth) từ một nơi duy nhất.","get_it","GetIt.I.registerSingleton<AuthService>(AuthService()); // Usage: GetIt.I<AuthService>().login();","Khởi tạo service ở khắp nơi (`new AuthService()`)."
Equatable (Value Equality),Logic,"compare, state, equality, so sánh","So sánh hai object dựa trên giá trị thay vì tham chiếu (dùng cho State Management).","equatable","class User extends Equatable { final int id; const User(this.id); @override List<Object> get props => [id]; }","So sánh thủ công `user1.id == user2.id` ở nhiều nơi."
Cascade Operator Usage,Logic,"dart, syntax, clean code, cú pháp","Thực hiện nhiều thao tác trên cùng 1 object mà không cần lặp lại tên biến.",".. operator","final list = [] ..add(1) ..add(2) ..sort();","Viết `list.add(1); list.add(2); list.sort();` dòng dài dòng."
Collection If/For,Logic,"dart, list, ui, syntax, danh sách điều kiện","Dùng if/for ngay trong mảng widget children.","collection if","Column(children: [ Text('Title'), if (isLoading) CircularProgressIndicator(), for (var item in items) Text(item), ])","Dùng toán tử 3 ngôi phức tạp hoặc hàm `buildList()` riêng lẻ không cần thiết."
Const Constructor Optimization,Performance,"const, memory, optimization, tối ưu bộ nhớ","Sử dụng const cho các widget không thay đổi để tránh rebuild không cần thiết.","const","const Text('Static Title'); const SizedBox(height: 10);","Quên từ khóa `const` ở những nơi có thể dùng, làm tăng lượng rác bộ nhớ (GC)."
Factory Constructor,Logic,"dart, class, constructor, factory","Constructor trả về instance có sẵn hoặc từ cache thay vì luôn tạo mới.","factory","class Logger { static final Logger _instance = Logger._internal(); factory Logger() => _instance; Logger._internal(); }","Không dùng Singleton cho các class nặng (Database, Network Client)."
Named Parameters,Logic,"dart, function, arguments, tham số","Sử dụng tham số có tên để code dễ đọc và tùy chọn.","{}","void connect({required String host, int port = 80}) { ... } // Usage: connect(host: 'localhost');","Dùng quá nhiều tham số vị trí (`connect('localhost', 80, true, 5000)`) gây khó hiểu."
Isolate Spawn (Worker),Performance,"isolate, thread, parallel, đa luồng","Tạo luồng xử lý song song thủ công cho tác vụ cực nặng.","Isolate","void worker(SendPort port) { port.send('Done'); } // Usage: await Isolate.spawn(worker, receivePort.sendPort);","Giao tiếp giữa các Isolate quá phức tạp mà không dùng `compute` cho tác vụ đơn giản."
Flutter Hooks (UseEffect),State Management,"hooks, functional, state, react style","Quản lý vòng đời widget (init, dispose) gọn gàng như React Hooks.","flutter_hooks","class MyWidget extends HookWidget { @override Widget build(context) { useEffect(() { print('Init'); return () => print('Dispose'); }, []); return Container(); } }","Dùng `StatefulWidget` với quá nhiều boilerplate code cho logic đơn giản."
Analytic Event Tracking,Data,"analytics, log, tracking, thống kê","Gửi sự kiện người dùng thao tác về hệ thống phân tích (Firebase Analytics).","firebase_analytics","await FirebaseAnalytics.instance.logEvent( name: 'select_content', parameters: {'content_id': '123', 'content_type': 'image'}, );","Gửi string cứng (hardcoded strings) thay vì dùng hằng số (constants) cho tên sự kiện."
Crashlytics Error Reporting,Data,"crash, error, bug, báo lỗi","Tự động bắt lỗi crash và gửi về Firebase Crashlytics.","firebase_crashlytics","FlutterError.onError = FirebaseCrashlytics.instance.recordFlutterFatalError; // Catch non-fatal try { ... } catch (e, s) { FirebaseCrashlytics.instance.recordError(e, s); }","Chỉ in lỗi ra console và bỏ qua, không biết user gặp lỗi gì."
Environment Config (Flavors),Architecture,"config, flavor, dev, prod, môi trường","Cấu hình biến môi trường riêng cho Dev, Staging, Production.","flutter_dotenv / Entry Points","const apiUrl = String.fromEnvironment('API_URL', defaultValue: 'https://dev.api.com');","Sửa code thủ công mỗi khi build bản Dev hoặc Prod."
Asset Image Loading,UI/UX,"image, asset, resource, ảnh nội bộ","Load ảnh từ thư mục assets tối ưu.","Image.asset","Image.asset('assets/images/logo.png', width: 100, fit: BoxFit.contain);","Quên khai báo đường dẫn trong `pubspec.yaml`."
Gradient Background,UI/UX,"color, ui, gradient, màu nền","Tạo nền chuyển màu đẹp mắt.","BoxDecoration, LinearGradient","Container( decoration: BoxDecoration( gradient: LinearGradient( colors: [Colors.blue, Colors.purple], begin: Alignment.topLeft, end: Alignment.bottomRight, ) ) )","Dùng ảnh nền gradient nặng nề thay vì vẽ bằng code."
ClipRRect (Rounded Image),UI/UX,"image, border radius, bo góc, ảnh tròn","Bo tròn các góc của ảnh hoặc widget con.","ClipRRect","ClipRRect( borderRadius: BorderRadius.circular(8.0), child: Image.network(url), )","Dùng `Container` có `decoration` nhưng ảnh con vẫn bị vuông (không clip)."
Global Error Handler,Architecture,"error, exception, zone, xử lý lỗi toàn cục","Bắt tất cả các lỗi chưa được xử lý trong ứng dụng (Red screen guard).","runZonedGuarded","runZonedGuarded(() { runApp(MyApp()); }, (error, stack) { // Report error logic });","Để màn hình đỏ (Red Screen of Death) hiện ra trước mặt người dùng cuối."
Theme Extension (Custom Colors),UI/UX,"theme, color, design system, màu tùy chỉnh","Thêm các màu sắc custom vào ThemeData chuẩn của Flutter.","ThemeExtension","@override ThemeExtension<MyColors> copyWith(...) { ... } // Usage: Theme.of(context).extension<MyColors>()!.brandColor","Thêm biến static `MyColors.red` rời rạc, không đổi theo Theme Mode (Light/Dark) được."
Dynamic Grid Axis Count,UI/UX,"grid, responsive, layout, lưới động","Thay đổi số cột của GridView dựa trên chiều rộng màn hình.","SliverGridDelegateWithMaxCrossAxisExtent","GridView.builder( gridDelegate: SliverGridDelegateWithMaxCrossAxisExtent( maxCrossAxisExtent: 200, childAspectRatio: 3/2, ), ... )","Fix cứng `crossAxisCount: 2` khiến giao diện xấu trên tablet/iPad."
Scroll to Top Button,UI/UX,"scroll, button, navigation, cuộn lên đầu","Nút bấm để cuộn nhanh lên đầu trang danh sách.","ScrollController","FloatingActionButton( onPressed: () => controller.animateTo(0, duration: Duration(seconds: 1), curve: Curves.easeOut), child: Icon(Icons.arrow_upward), )","Dùng `jumpTo(0)` gây giật cục thay vì `animateTo`."
Keyboard Dismiss (Unfocus),UI/UX,"keyboard, input, focus, ẩn bàn phím","Tự động ẩn bàn phím khi bấm ra ngoài vùng nhập liệu.","GestureDetector, FocusScope","GestureDetector( onTap: () => FocusScope.of(context).unfocus(), child: Scaffold(...), )","Bắt người dùng phải bấm nút Done trên bàn phím mới ẩn được."
Retry Policy (API),Data,"api, retry, error, thử lại","Tự động gọi lại API nếu thất bại (mạng yếu).","retry / dio_smart_retry","final response = await retry( () => client.get('...'), retryIf: (e) => e is SocketException, maxAttempts: 3, );","Không có cơ chế retry, báo lỗi ngay lập tức khi mạng chập chờn."
Sliver Fill Remaining,UI/UX,"layout, scroll, center, căn giữa","Hiển thị nội dung căn giữa màn hình hoặc lấp đầy khoảng trống trong CustomScrollView.","SliverFillRemaining","SliverFillRemaining( hasScrollBody: false, child: Center(child: Text('Empty')), )","Dùng `SliverToBoxAdapter` và set height thủ công."
Auto Size Text,UI/UX,"text, scale, font size, chữ tự động","Tự động giảm kích thước chữ để vừa khung chứa.","auto_size_text","AutoSizeText('Very long title', maxLines: 1, minFontSize: 12);","Để text bị cắt (ellipsis) quá sớm khi vẫn còn chỗ trống."
Badges (Notification Count),UI/UX,"notification, badge, icon, thông báo","Hiển thị số lượng thông báo trên icon.","badges","Badge( badgeContent: Text('3', style: TextStyle(color: Colors.white)), child: Icon(Icons.shopping_cart), )","Tự dùng Stack và Positioned căn chỉnh thủ công (lệch trên các máy khác nhau)."
Skeltonizer (Loading UI),UI/UX,"loading, skeleton, ui, hiệu ứng chờ","Tự động biến UI thật thành khung loading skeleton mà không cần viết widget riêng.","skeletonizer","Skeletonizer( enabled: isLoading, child: RealUIWidget(data: mockData), )","Viết riêng một widget `LoadingItem` và phải bảo trì cả 2 bản UI."
Gap (Spacing),UI/UX,"layout, spacing, margin, khoảng cách","Thay thế SizedBox để tạo khoảng cách giữa các widget (dễ đọc hơn).","gap","Column(children: [Text('A'), Gap(10), Text('B')]);","Dùng `Padding` bao bọc từng widget chỉ để tạo khoảng trống."
Freezed Union Handling,Logic,"state, pattern matching, union","Xử lý các case của Union Type (Freezed) an toàn.","freezed, map/when","state.map( data: (d) => ShowData(d), error: (e) => ShowError(e), loading: (_) => ShowLoading(), );","Dùng `if (state is Data)` và ép kiểu thủ công."
Value Key (Widget Identity),Performance,"key, widget, update, định danh","Giúp Flutter phân biệt các widget trong danh sách khi thứ tự thay đổi.","ValueKey","ListView( children: items.map((item) => ListTile(key: ValueKey(item.id), ...)).toList() )","Không dùng Key hoặc dùng `index` làm Key (gây lỗi khi xóa/thêm item)."
Interactive Bottom Sheet,UI/UX,"bottom sheet, modal, drag, menu kéo","BottomSheet có thể tương tác (cuộn bên trong) và đóng khi kéo xuống.","showModalBottomSheet","showModalBottomSheet( isScrollControlled: true, builder: (_) => DraggableScrollableSheet(...) );","Bottom Sheet bị cố định chiều cao, không hiển thị hết nội dung."
Check Internet Connection Stream,System,"network, wifi, stream, theo dõi mạng","Lắng nghe thay đổi trạng thái mạng theo thời gian thực.","connectivity_plus","Connectivity().onConnectivityChanged.listen((ConnectivityResult result) { // Update UI status });","Chỉ kiểm tra một lần lúc gọi API."
Pill Button Padding,UI/UX,"button, pill, stadium, border radius, padding, text clipped, chữ bị cắt, nút bo tròn","Khi dùng button dạng pill (borderRadius = height/2), cần tăng padding horizontal để text không bị cắt ở hai đầu do vùng bo tròn chiếm không gian.","ElevatedButton, FilledButton, OutlinedButton","ElevatedButton( style: ElevatedButton.styleFrom( shape: StadiumBorder(), padding: EdgeInsets.symmetric(horizontal: 32, vertical: 16), // horizontal >= borderRadius + 8 ), child: Text('Nhận Chuyến'), )","Dùng default padding với pill button hoặc fixed height mà không tính toán padding. Ví dụ sai: SizedBox(height: 50, child: ElevatedButton(borderRadius: 25)) với default padding sẽ làm text bị cắt."
