STT,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
54,Academic/Archival,"Serif + Serif",EB Garamond,Crimson Text,"academic, old-school, university, research, serious, traditional","University sites, archives, research papers, history","https://fonts.google.com/share?selection.family=Crimson+Text:wght@400;600;700|EB+Garamond:wght@400;500;600;700;800","@import url('https://fonts.googleapis.com/css2?family=Crimson+Text:wght@400;600;700&family=EB+Garamond:wght@400;500;600;700;800&display=swap');","fontFamily: { classic: ['EB Garamond', 'serif'], text: ['Crimson Text', 'serif'] }","Classic academic aesthetic. Very legible."
55,Spatial Clear,"Sans + Sans",Inter,Inter,"spatial, legible, glass, system, clean, neutral","Spatial computing, AR/VR, glassmorphism interfaces","https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600","@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap');","fontFamily: { sans: ['Inter', 'sans-serif'] }","Optimized for readability on dynamic backgrounds."
56,Kinetic Motion,"Display + Mono",Syncopate,Space Mono,"kinetic, motion, futuristic, speed, wide, tech","Music festivals, automotive, high-energy brands","https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700|Syncopate:wght@400;700","@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&family=Syncopate:wght@400;700&display=swap');","fontFamily: { display: ['Syncopate', 'sans-serif'], mono: ['Space Mono', 'monospace'] }","Syncopate's wide stance works well with motion effects."
57,Gen Z Brutal,"Display + Sans",Anton,Epilogue,"brutal, loud, shouty, meme, internet, bold","Gen Z marketing, streetwear, viral campaigns","https://fonts.google.com/share?selection.family=Anton|Epilogue:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Anton&family=Epilogue:wght@400;500;600;700&display=swap');","fontFamily: { display: ['Anton', 'sans-serif'], body: ['Epilogue', 'sans-serif'] }","Anton is impactful and condensed. Good for stickers/badges."
58,Urban Brutalist,"Sans + Serif","Archivo Black","EB Garamond","bold, industrial, raw, high-contrast, edgy","Art galleries, streetwear brands, architecture portfolios, design studios","https://fonts.google.com/share?selection.family=EB+Garamond:wght@400;500;700|Archivo+Black:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;500;700&family=Archivo+Black:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Archivo Black', 'sans-serif'], body: ['EB Garamond', 'sans-serif'] }","Archivo Black looks industrial while EB Garamond adds classical contrast."
59,Soft Friendly,"Sans + Sans","Quicksand","Nunito","playful, soft, rounded, friendly, approachable","Children's products, health apps, non-profits, pet shops, wellness blogs","https://fonts.google.com/share?selection.family=Nunito:wght@400;500;700|Quicksand:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;700&family=Quicksand:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Quicksand', 'sans-serif'], body: ['Nunito', 'sans-serif'] }","Rounded fonts create a welcoming and non-threatening vibe."
60,Sharp Geometric,"Sans + Sans","Montserrat","Roboto","geometric, balanced, versatile, professional, clean","Portfolios, landing pages, general business, lifestyle blogs, resume sites","https://fonts.google.com/share?selection.family=Roboto:wght@400;500;700|Montserrat:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&family=Montserrat:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Montserrat', 'sans-serif'], body: ['Roboto', 'sans-serif'] }","Montserrat for strong geometry and Roboto for neutral readability."
61,Scholarly Heritage,"Serif + Serif","Lora","Merriweather","academic, trustworthy, warm, readable, traditional","Education sites, law firms, news archives, long-form blogs, research papers","https://fonts.google.com/share?selection.family=Merriweather:wght@400;500;700|Lora:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Merriweather:wght@400;500;700&family=Lora:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Lora', 'sans-serif'], body: ['Merriweather', 'sans-serif'] }","Two distinct serifs that harmonize well for dense text and authority."
62,Cyber Tech,"Display + Mono",Orbitron,Roboto Mono,"futuristic, digital, high-tech, robotic, sharp","Gaming, tech hardware, futurist blogs, dashboards, crypto platforms","https://fonts.google.com/share?selection.family=Roboto+Mono:wght@400;500;700|Orbitron:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@400;500;700&family=Orbitron:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Orbitron', 'sans-serif'], body: ['Roboto Mono', 'sans-serif'] }","Geometric display font paired with a highly functional monospaced body."
63,Rustic Warmth,"Serif + Sans",Bitter,Source Sans Pro,"warm, cozy, reliable, grounded, readable","Lifestyle blogs, craft shops, outdoor brands, home decor","https://fonts.google.com/share?selection.family=Source+Sans+Pro:wght@400;500;700|Bitter:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@400;500;700&family=Bitter:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Bitter', 'sans-serif'], body: ['Source Sans Pro', 'sans-serif'] }","Bitter and Source Sans Pro create a balanced serif + sans feel."
64,Corporate Edge,"Sans + Sans",Ubuntu,Lato,"modern, tech-forward, precise, friendly","Tech agencies, IT consulting, software dashboards, app landing pages","https://fonts.google.com/share?selection.family=Lato:wght@400;500;700|Ubuntu:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lato:wght@400;500;700&family=Ubuntu:wght@400;500;600;700&display=swap');","fontFamily
65,Vintage Journal,"Serif + Serif","Crimson Text","Work Sans","literary, classic, nostalgic, clean","Poetry sites, personal journals, history archives, boutique shops","https://fonts.google.com/share?selection.family=Work+Sans:wght@400;500;700|Crimson+Text:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;500;700&family=Crimson+Text:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Crimson Text', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }","Crimson Text and Work Sans create a balanced serif + serif feel."
66,"Bold Impact","Display + Sans","Bebas Neue","Montserrat","loud, confident, energetic, urban","Fitness brands, event posters, marketing headlines, street fashion","https://fonts.google.com/share?selection.family=Montserrat:wght@400;500;700|Bebas+Neue:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;700&family=Bebas+Neue:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Bebas Neue', 'sans-serif'], body: ['Montserrat', 'sans-serif'] }","Bebas Neue and Montserrat create a balanced display + sans feel."
67,"Soft Minimalist","Sans + Sans","Muli","Quicksand","gentle, airy, modern, clean","Skincare brands, meditation apps, interior design, minimalist blogs","https://fonts.google.com/share?selection.family=Quicksand:wght@400;500;700|Muli:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Quicksand:wght@400;500;700&family=Muli:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Muli', 'sans-serif'], body: ['Quicksand', 'sans-serif'] }","Muli and Quicksand create a balanced sans + sans feel."
68,"Academic Authority","Serif + Sans","Libre Baskerville","Source Sans Pro","serious, scholarly, clear, traditional","University portals, legal whitepapers, news journals, online libraries","https://fonts.google.com/share?selection.family=Source+Sans+Pro:wght@400;500;700|Libre+Baskerville:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@400;500;700&family=Libre+Baskerville:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Libre Baskerville', 'sans-serif'], body: ['Source Sans Pro', 'sans-serif'] }","Libre Baskerville and Source Sans Pro create a balanced serif + sans feel."
69,"Geometric Precision","Sans + Sans","Oswald","Open Sans","strong, vertical, industrial, legible","Manufacturing, construction, news headlines, architectural firms","https://fonts.google.com/share?selection.family=Open+Sans:wght@400;500;700|Oswald:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;500;700&family=Oswald:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Oswald', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Oswald and Open Sans create a balanced sans + sans feel."
70,"Elegant Script","Display + Serif","Playball","Lora","fancy, festive, elegant, creative","Wedding invitations, luxury event sites, bakery menus, greeting cards","https://fonts.google.com/share?selection.family=Lora:wght@400;500;700|Playball:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;700&family=Playball:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Playball', 'sans-serif'], body: ['Lora', 'sans-serif'] }","Playball and Lora create a balanced display + serif feel."
71,"Friendly Tech","Sans + Sans","Fredoka One","Nunito","playful, bubbly, approachable, digital","Early education apps, casual gaming, pet services, social platforms","https://fonts.google.com/share?selection.family=Nunito:wght@400;500;700|Fredoka+One:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;700&family=Fredoka+One:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Fredoka One', 'sans-serif'], body: ['Nunito', 'sans-serif'] }","Fredoka One and Nunito create a balanced sans + sans feel."
72,"Timeless Luxury","Serif + Sans","Cinzel","Lato","majestic, ancient, premium, sharp","Luxury jewelry, museum exhibits, high-end real estate, perfume brands","https://fonts.google.com/share?selection.family=Lato:wght@400;500;700|Cinzel:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lato:wght@400;500;700&family=Cinzel:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Cinzel', 'sans-serif'], body: ['Lato', 'sans-serif'] }","Cinzel and Lato create a balanced serif + sans feel."
73,"Modern Serif","Serif + Sans","PT Serif","PT Sans","harmonious, functional, unified, professional","Corporate reports, multi-language sites, informative blogs, news portals","https://fonts.google.com/share?selection.family=PT+Sans:wght@400;500;700|PT+Serif:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=PT+Sans:wght@400;500;700&family=PT+Serif:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['PT Serif', 'sans-serif'], body: ['PT Sans', 'sans-serif'] }","PT Serif and PT Sans create a balanced serif + sans feel."
74,"Retro Vibe","Display + Sans","Righteous","Roboto","funky, neon, retro, digital","80s-themed events, arcade bars, tech portfolios, music festivals","https://fonts.google.com/share?selection.family=Roboto:wght@400;500;700|Righteous:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&family=Righteous:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Righteous', 'sans-serif'], body: ['Roboto', 'sans-serif'] }","Righteous and Roboto create a balanced display + sans feel."
75,"Clean Business","Sans + Sans","Arimo","Tinos","standard, neutral, reliable, professional","Official documentation, legal firms, financial services, email templates","https://fonts.google.com/share?selection.family=Tinos:wght@400;500;700|Arimo:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Tinos:wght@400;500;700&family=Arimo:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Arimo', 'sans-serif'], body: ['Tinos', 'sans-serif'] }","Arimo and Tinos create a balanced sans + sans feel."
76,"Artsy Modern","Display + Sans","Abril Fatface","Poppins","bold, artistic, fashionable, high-contrast","Art magazines, fashion lookbooks, creative portfolios, design blogs","https://fonts.google.com/share?selection.family=Poppins:wght@400;500;700|Abril+Fatface:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;700&family=Abril+Fatface:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Abril Fatface', 'sans-serif'], body: ['Poppins', 'sans-serif'] }","Abril Fatface and Poppins create a balanced display + sans feel."
77,"Soft Elegance","Serif + Sans","Cardo","Montserrat","classical, soft, sophisticated, modern","High-end jewelry, boutique hotels, spa services, luxury lifestyle","https://fonts.google.com/share?selection.family=Montserrat:wght@400;500;700|Cardo:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;700&family=Cardo:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Cardo', 'sans-serif'], body: ['Montserrat', 'sans-serif'] }","Cardo and Montserrat create a balanced serif + sans feel."
78,"Industrial Bold","Sans + Sans","Anton","Roboto","heavy, loud, impact-driven, condensed","Sports news, action movie posters, bold marketing, gym websites","https://fonts.google.com/share?selection.family=Roboto:wght@400;500;700|Anton:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&family=Anton:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Anton', 'sans-serif'], body: ['Roboto', 'sans-serif'] }","Anton and Roboto create a balanced sans + sans feel."
79,"Whimsical Creative","Display + Sans","Pacifico","Arimo","handwritten, fun, relaxed, creative","Personal blogs, creative agencies, coffee shops, travel diaries","https://fonts.google.com/share?selection.family=Arimo:wght@400;500;700|Pacifico:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Arimo:wght@400;500;700&family=Pacifico:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Pacifico', 'sans-serif'], body: ['Arimo', 'sans-serif'] }","Pacifico and Arimo create a balanced display + sans feel."
80,"Strict Professional","Serif + Serif","Arvo","Open Sans","solid, trustworthy, blocky, clear","Business portfolios, tech startups, industrial blogs, news sites","https://fonts.google.com/share?selection.family=Open+Sans:wght@400;500;700|Arvo:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;500;700&family=Arvo:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Arvo', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Arvo and Open Sans create a balanced serif + serif feel."
81,"Futuristic UI","Sans + Mono","Syncopate","Space Mono","wide, tech, digital, futuristic","Software UI, sci-fi projects, crypto dashboards, dev portfolios","https://fonts.google.com/share?selection.family=Space+Mono:wght@400;500;700|Syncopate:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;500;700&family=Syncopate:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Syncopate', 'sans-serif'], body: ['Space Mono', 'sans-serif'] }","Syncopate and Space Mono create a balanced sans + mono feel."
82,"Gentle Serif","Serif + Sans","Zilla Slab","Open Sans","literary, modern, friendly, distinct","Publishing houses, creative writing blogs, non-profits, educator sites","https://fonts.google.com/share?selection.family=Open+Sans:wght@400;500;700|Zilla+Slab:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;500;700&family=Zilla+Slab:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Zilla Slab', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Zilla Slab and Open Sans create a balanced serif + sans feel."
83,"Strong Sans","Sans + Sans","Fira Sans","Merriweather Sans","technical, legible, balanced, modern","Documentation, open-source projects, developer tools, technical blogs","https://fonts.google.com/share?selection.family=Merriweather+Sans:wght@400;500;700|Fira+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Merriweather+Sans:wght@400;500;700&family=Fira+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Fira Sans', 'sans-serif'], body: ['Merriweather Sans', 'sans-serif'] }","Fira Sans and Merriweather Sans create a balanced sans + sans feel."
84,"Premium Minimal","Sans + Serif","Tenor Sans","EB Garamond","fashion-forward, light, airy, luxury","Fashion editorials, wedding photography, luxury spas, minimal e-commerce","https://fonts.google.com/share?selection.family=EB+Garamond:wght@400;500;700|Tenor+Sans:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;500;700&family=Tenor+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Tenor Sans', 'sans-serif'], body: ['EB Garamond', 'sans-serif'] }","Tenor Sans and EB Garamond create a balanced sans + serif feel."
85,"Bold Narrative","Serif + Serif","Ultra","Lora","heavy, dramatic, traditional, bold","Storytelling platforms, impactful editorial, theater websites, vintage brands","https://fonts.google.com/share?selection.family=Lora:wght@400;500;700|Ultra:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;700&family=Ultra:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Ultra', 'sans-serif'], body: ['Lora', 'sans-serif'] }","Ultra and Lora create a balanced serif + serif feel."
86,"Clean Tech","Sans + Sans","Maven Pro","Cabin","curved, modern, smooth, approachable","SaaS platforms, healthcare tech, mobile apps, customer service portals","https://fonts.google.com/share?selection.family=Cabin:wght@400;500;700|Maven+Pro:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Cabin:wght@400;500;700&family=Maven+Pro:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Maven Pro', 'sans-serif'], body: ['Cabin', 'sans-serif'] }","Maven Pro and Cabin create a balanced sans + sans feel."
87,"Traditional News","Serif + Sans","Old Standard TT","Montserrat","historic, authoritative, crisp, contrast","News editorials, history blogs, legal consultancies, traditional media","https://fonts.google.com/share?selection.family=Montserrat:wght@400;500;700|Old+Standard+TT:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;700&family=Old+Standard+TT:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Old Standard TT', 'sans-serif'], body: ['Montserrat', 'sans-serif'] }","Old Standard TT and Montserrat create a balanced serif + sans feel."
88,"Playful Modern","Sans + Sans","Varela Round","Open Sans","rounded, friendly, clean, simple","Customer support portals, educational sites, mobile apps, social groups","https://fonts.google.com/share?selection.family=Open+Sans:wght@400;500;700|Varela+Round:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;500;700&family=Varela+Round:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Varela Round', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Varela Round and Open Sans create a balanced sans + sans feel."
89,"Sturdy Slab","Serif + Sans","Robot Slab","Roboto","industrial, robust, clean, balanced","Engineering firms, hardware reviews, construction blogs, technical guides","https://fonts.google.com/share?selection.family=Roboto:wght@400;500;700|Robot+Slab:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&family=Robot+Slab:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Robot Slab', 'sans-serif'], body: ['Roboto', 'sans-serif'] }","Robot Slab and Roboto create a balanced serif + sans feel."
90,"Chic Minimal","Sans + Sans","Questrial","Lato","geometric, chic, trendy, light","Beauty brands, minimalist design studios, lifestyle portfolios, jewelry shops","https://fonts.google.com/share?selection.family=Lato:wght@400;500;700|Questrial:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lato:wght@400;500;700&family=Questrial:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Questrial', 'sans-serif'], body: ['Lato', 'sans-serif'] }","Questrial and Lato create a balanced sans + sans feel."
91,"Classic Bookish","Serif + Serif","Sorts Mill Goudy","Crimson Text","old-style, literary, refined, soft","Book publishers, poetry archives, antique shops, classical music sites","https://fonts.google.com/share?selection.family=Crimson+Text:wght@400;500;700|Sorts+Mill+Goudy:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Crimson+Text:wght@400;500;700&family=Sorts+Mill+Goudy:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Sorts Mill Goudy', 'sans-serif'], body: ['Crimson Text', 'sans-serif'] }","Sorts Mill Goudy and Crimson Text create a balanced serif + serif feel."
92,"High Contrast","Display + Sans","Yeseva One","Josefin Sans","feminine, bold, graceful, stylish","Wedding planners, cosmetic brands, boutique fashion, lifestyle magazines","https://fonts.google.com/share?selection.family=Josefin+Sans:wght@400;500;700|Yeseva+One:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Josefin+Sans:wght@400;500;700&family=Yeseva+One:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Yeseva One', 'sans-serif'], body: ['Josefin Sans', 'sans-serif'] }","Yeseva One and Josefin Sans create a balanced display + sans feel."
93,"Monospace Vibe","Mono + Sans","Inconsolata","Inter","coder, precise, clean, technical","Developer blogs, documentation, tech tutorials, coding platforms","https://fonts.google.com/share?selection.family=Inter:wght@400;500;700|Inconsolata:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;700&family=Inconsolata:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Inconsolata', 'sans-serif'], body: ['Inter', 'sans-serif'] }","Inconsolata and Inter create a balanced mono + sans feel."
94,"Warm Serif","Serif + Sans","Crimson Pro","Public Sans","warm, readable, government, reliable","Public service announcements, non-profits, academic sites, classic blogs","https://fonts.google.com/share?selection.family=Public+Sans:wght@400;500;700|Crimson+Pro:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Public+Sans:wght@400;500;700&family=Crimson+Pro:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Crimson Pro', 'sans-serif'], body: ['Public Sans', 'sans-serif'] }","Crimson Pro and Public Sans create a balanced serif + sans feel."
95,"Dynamic Display","Display + Sans","Alfa Slab One","Work Sans","heavy, dynamic, punchy, modern","Event headlines, posters, bold retail brands, youth marketing","https://fonts.google.com/share?selection.family=Work+Sans:wght@400;500;700|Alfa+Slab+One:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;500;700&family=Alfa+Slab+One:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Alfa Slab One', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }","Alfa Slab One and Work Sans create a balanced display + sans feel."
96,"Sophisticated Script","Display + Serif","Great Vibes","Playfair Display","formal, elegant, fluid, luxury","High-end invitations, luxury labels, bridal boutiques, wine brands","https://fonts.google.com/share?selection.family=Playfair+Display:wght@400;500;700|Great+Vibes:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;500;700&family=Great+Vibes:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Great Vibes', 'sans-serif'], body: ['Playfair Display', 'sans-serif'] }","Great Vibes and Playfair Display create a balanced display + serif feel."
97,"Modern Mono","Mono + Mono","JetBrains Mono","IBM Plex Mono","productive, clean, industrial, functional","IDE landing pages, technical documentation, dev portfolios, logic-heavy apps","https://fonts.google.com/share?selection.family=IBM+Plex+Mono:wght@400;500;700|JetBrains+Mono:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;500;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['JetBrains Mono', 'sans-serif'], body: ['IBM Plex Mono', 'sans-serif'] }","JetBrains Mono and IBM Plex Mono create a balanced mono + mono feel."
98,"Humanist Flow","Sans + Sans","Exo 2","Alegreya Sans","dynamic, ergonomic, tech, fluid","Sports tech, ergonomic product sites, modern startups, creative apps","https://fonts.google.com/share?selection.family=Alegreya+Sans:wght@400;500;700|Exo+2:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Alegreya+Sans:wght@400;500;700&family=Exo+2:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Exo 2', 'sans-serif'], body: ['Alegreya Sans', 'sans-serif'] }","Exo 2 and Alegreya Sans create a balanced sans + sans feel."
99,"Serene Minimal","Sans + Serif","Nixie One","Lora","light, typewriter, serene, artistic","Personal portfolios, delicate brands, creative journals, photography sites","https://fonts.google.com/share?selection.family=Lora:wght@400;500;700|Nixie+One:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;700&family=Nixie+One:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Nixie One', 'sans-serif'], body: ['Lora', 'sans-serif'] }","Nixie One and Lora create a balanced sans + serif feel."
100,"Bold Geometric","Sans + Sans","Kanit","Hind","modern, bold, Thai-inspired, compact","Asian-focused tech, bold gaming sites, fast-paced news, urban brands","https://fonts.google.com/share?selection.family=Hind:wght@400;500;700|Kanit:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Hind:wght@400;500;700&family=Kanit:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Kanit', 'sans-serif'], body: ['Hind', 'sans-serif'] }","Kanit and Hind create a balanced sans + sans feel."
101,"Classic Modern","Serif + Sans","Bree Serif","Lato","upright, friendly, distinct, professional","App landing pages, food blogs, educational portals, service businesses","https://fonts.google.com/share?selection.family=Lato:wght@400;500;700|Bree+Serif:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lato:wght@400;500;700&family=Bree+Serif:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Bree Serif', 'sans-serif'], body: ['Lato', 'sans-serif'] }","Bree Serif and Lato create a balanced serif + sans feel."
102,"Tech Editorial","Sans + Serif","Titillium Web","Bitter","squared, technical, readable, modern","Tech magazines, hardware reviews, industrial design, engineering blogs","https://fonts.google.com/share?selection.family=Bitter:wght@400;500;700|Titillium+Web:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Bitter:wght@400;500;700&family=Titillium+Web:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Titillium Web', 'sans-serif'], body: ['Bitter', 'sans-serif'] }","Titillium Web and Bitter create a balanced sans + serif feel."
103,"Lively Sans","Sans + Sans","Comfortaa","Nunito","rounded, bubbly, lively, friendly","Social networking apps, casual games, child-friendly services, food brands","https://fonts.google.com/share?selection.family=Nunito:wght@400;500;700|Comfortaa:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;700&family=Comfortaa:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Comfortaa', 'sans-serif'], body: ['Nunito', 'sans-serif'] }","Comfortaa and Nunito create a balanced sans + sans feel."
104,"Strong Editorial","Serif + Sans","Vollkorn","Lato","sturdy, traditional, multi-purpose, clean","News sites, long-form articles, business blogs, corporate about-pages","https://fonts.google.com/share?selection.family=Lato:wght@400;500;700|Vollkorn:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Lato:wght@400;500;700&family=Vollkorn:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Vollkorn', 'sans-serif'], body: ['Lato', 'sans-serif'] }","Vollkorn and Lato create a balanced serif + sans feel."
105,"Crisp Tech","Sans + Sans","Rajdhani","Exo","squared, futuristic, tech, energetic","Esports, hardware manufacturing, futuristic dashboards, crypto news","https://fonts.google.com/share?selection.family=Exo:wght@400;500;700|Rajdhani:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Exo:wght@400;500;700&family=Rajdhani:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Rajdhani', 'sans-serif'], body: ['Exo', 'sans-serif'] }","Rajdhani and Exo create a balanced sans + sans feel."
106,"Vintage Display","Display + Serif","Passion One","PT Serif","bold, compact, retro, strong","Movie posters, vintage shop branding, bold retail, festival sites","https://fonts.google.com/share?selection.family=PT+Serif:wght@400;500;700|Passion+One:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=PT+Serif:wght@400;500;700&family=Passion+One:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Passion One', 'sans-serif'], body: ['PT Serif', 'sans-serif'] }","Passion One and PT Serif create a balanced display + serif feel."
107,"Soft Serif","Serif + Sans","Sanchez","Open Sans","slab, friendly, approachable, robust","Creative agencies, portfolios, local businesses, educational tools","https://fonts.google.com/share?selection.family=Open+Sans:wght@400;500;700|Sanchez:wght@400;500;600;700","@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;500;700&family=Sanchez:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Sanchez', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Sanchez and Open Sans create a balanced serif + sans feel."
