STT,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity
44,Memphis Design,General,"80s, geometric, playful, postmodern, shapes, patterns, squiggles, triangles, neon, abstract, bold","#FF71CE (Hot Pink), #FFCE5C (Yellow), #86CCCA (Teal), #6A7BB4 (Blue Purple)","Complementary geometric colors, pattern fills, contrasting accent shapes","transform: rotate(), clip-path: polygon(), mix-blend-mode, repeating patterns, bold shapes","Creative agencies, music sites, youth brands, event promotion, artistic portfolios, entertainment","Corporate finance, healthcare, legal, elderly users, conservative brands",✓ Full,✓ Full,⚡ Excellent,⚠ Check contrast,✓ Good,◐ Medium,"Tailwind 9/10, CSS 10/10",1980s Postmodern,Medium
45,Vaporwave,General,"Synthwave, retro-futuristic, 80s-90s, neon, glitch, nostalgic, sunset gradient, dreamy, aesthetic","#FF71CE (Pink), #01CDFE (Cyan), #05FFA1 (Mint), #B967FF (Purple)","Sunset gradients, glitch overlays, VHS effects, neon accents, pastel variations","text-shadow glow, linear-gradient, filter: hue-rotate(), glitch animations, retro scan lines","Music platforms, gaming, creative portfolios, tech startups, entertainment, artistic projects","Business apps, e-commerce, education, healthcare, enterprise software",✓ Full,✓ Dark focused,⚠ Moderate,⚠ Poor (motion),◐ Medium,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",1980s-90s Retro,Medium
46,Dimensional Layering,General,"Depth, overlapping, z-index, layers, 3D, shadows, elevation, floating, cards, spatial hierarchy","Neutral base (#FFFFFF, #F5F5F5, #E0E0E0) + brand accent for elevated elements","Shadow variations (sm/md/lg/xl), elevation colors, highlight colors for top layers","z-index stacking, box-shadow elevation (4 levels), transform: translateZ(), backdrop-filter, parallax","Dashboards, card layouts, modals, navigation, product showcases, SaaS interfaces","Print-style layouts, simple blogs, low-end devices, flat design requirements",✓ Full,✓ Full,⚠ Good,⚠ Moderate (SR issues),✓ Good,✓ High,"Tailwind 10/10, MUI 10/10, Chakra 10/10",2020s Modern,Medium
47,Exaggerated Minimalism,General,"Bold minimalism, oversized typography, high contrast, negative space, loud minimal, statement design","#000000 (Black), #FFFFFF (White), single vibrant accent only","Minimal - single accent color, no secondary colors, extreme restraint","font-size: clamp(3rem 10vw 12rem), font-weight: 900, letter-spacing: -0.05em, massive whitespace","Fashion, architecture, portfolios, agency landing pages, luxury brands, editorial","E-commerce catalogs, dashboards, forms, data-heavy, elderly users, complex apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, Typography.js 10/10",2020s Modern,Low
48,Kinetic Typography,General,"Motion text, animated type, moving letters, dynamic, typing effect, morphing, scroll-triggered text","Flexible - high contrast recommended, bold colors for emphasis, animation-friendly palette","Accent colors for emphasis, transition colors, gradient text fills","@keyframes text animation, typing effect, background-clip: text, GSAP ScrollTrigger, split text","Hero sections, marketing sites, video platforms, storytelling, creative portfolios, landing pages","Long-form content, accessibility-critical, data interfaces, forms, elderly users",✓ Full,✓ Full,⚠ Moderate,❌ Poor (motion),✓ Good,✓ Very High,"GSAP 10/10, Framer Motion 10/10",2020s Modern,High
49,Parallax Storytelling,General,"Scroll-driven, narrative, layered scrolling, immersive, progressive disclosure, cinematic, scroll-triggered","Story-dependent, often gradients and natural colors, section-specific palettes","Section transition colors, depth layer colors, narrative mood colors","transform: translateY(scroll), position: fixed/sticky, perspective: 1px, scroll-triggered animations","Brand storytelling, product launches, case studies, portfolios, annual reports, marketing campaigns","E-commerce, dashboards, mobile-first, SEO-critical, accessibility-required",✓ Full,✓ Full,❌ Poor,❌ Poor (motion),✗ Low,✓ High,"GSAP ScrollTrigger 10/10, Locomotive Scroll 10/10",2020s Modern,High
50,Swiss Modernism 2.0,General,"Grid system, Helvetica, modular, asymmetric, international style, rational, clean, mathematical spacing","#000000, #FFFFFF, #F5F5F5, single vibrant accent only","Minimal secondary, accent for emphasis only, no gradients","display: grid, grid-template-columns: repeat(12 1fr), gap: 1rem, mathematical ratios, clear hierarchy","Corporate sites, architecture, editorial, SaaS, museums, professional services, documentation","Playful brands, children's sites, entertainment, gaming, emotional storytelling",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Bootstrap 9/10, Foundation 10/10",1950s Swiss + 2020s,Low
51,HUD / Sci-Fi FUI,General,"Futuristic, technical, wireframe, neon, data, transparency, iron man, sci-fi, interface","Neon Cyan #00FFFF, Holographic Blue #0080FF, Alert Red #FF0000","Transparent Black, Grid Lines #333333","Glow effects, scanning animations, ticker text, blinking markers, fine line drawing","Sci-fi games, space tech, cybersecurity, movie props, immersive dashboards","Standard corporate, reading heavy content, accessible public services",✓ Low,✓ Full,⚠ Moderate (renders),⚠ Poor (thin lines),◐ Medium,✗ Low,"React 9/10, Canvas 10/10",2010s Sci-Fi,High
52,Pixel Art,General,"Retro, 8-bit, 16-bit, gaming, blocky, nostalgic, pixelated, arcade","Primary colors (NES Palette), brights, limited palette","Black outlines, shading via dithering or block colors","Frame-by-frame sprite animation, blinking cursor, instant transitions, marquee text","Indie games, retro tools, creative portfolios, nostalgia marketing, Web3/NFT","Professional corporate, modern SaaS, high-res photography sites",✓ Full,✓ Full,⚡ Excellent,✓ Good (if contrast ok),✓ High,◐ Medium,"CSS (box-shadow) 8/10, Canvas 10/10",1980s Arcade,Medium
53,Bento Grids,General,"Apple-style, modular, cards, organized, clean, hierarchy, grid, rounded, soft","Off-white #F5F5F7, Clean White #FFFFFF, Text #1D1D1F","Subtle accents, soft shadows, blurred backdrops","Hover scale (1.02), soft shadow expansion, smooth layout shifts, content reveal","Product features, dashboards, personal sites, marketing summaries, galleries","Long-form reading, data tables, complex forms",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"CSS Grid 10/10, Tailwind 10/10",2020s Apple/Linear,Low
54,Neubrutalism,General,"Bold, ugly-cute, raw, high contrast, flat, hard shadows, distinct, playful, loud","Pop Yellow #FFDE59, Bright Red #FF5757, Black #000000","Lavender #CBA6F7, Mint #76E0C2","Hard hover shifts (4px), marquee scrolling, jitter animations, bold borders","Design tools, creative agencies, Gen Z brands, personal blogs, gumroad-style","Banking, legal, healthcare, serious enterprise, elderly users",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Plain CSS 10/10",2020s Modern Retro,Low
55,Spatial UI (VisionOS),General,"Glass, depth, immersion, spatial, translucent, gaze, gesture, apple, vision-pro","Frosted Glass #FFFFFF (15-30% opacity), System White","Vibrant system colors for active states, deep shadows for depth","Parallax depth, dynamic lighting response, gaze-hover effects, smooth scale on focus","Spatial computing apps, VR/AR interfaces, immersive media, futuristic dashboards","Text-heavy documents, high-contrast requirements, non-3D capable devices",✓ Full,✓ Full,⚠ Moderate (blur cost),⚠ Contrast risks,✓ High (if adapted),✓ High,"SwiftUI, React (Three.js/Fiber)",2024 Spatial Era,High
56,E-Ink / Paper,General,"Paper-like, matte, high contrast, texture, reading, calm, slow tech, monochrome","Off-White #FDFBF7, Paper White #F5F5F5, Ink Black #1A1A1A","Pencil Grey #4A4A4A, Highlighter Yellow #FFFF00 (accent)","No motion blur, distinct page turns, grain/noise texture, sharp transitions (no fade)","Reading apps, digital newspapers, minimal journals, distraction-free writing, slow-living brands","Gaming, video platforms, high-energy marketing, dark mode dependent apps",✓ Full,✗ Low (inverted only),⚡ Excellent,✓ WCAG AAA,✓ High,✓ Medium,"Tailwind 10/10, CSS 10/10",2020s Digital Well-being,Low
57,Gen Z Chaos / Maximalism,General,"Chaos, clutter, stickers, raw, collage, mixed media, loud, internet culture, ironic","Clashing Brights: #FF00FF, #00FF00, #FFFF00, #0000FF","Gradients, rainbow, glitch, noise, heavily saturated mix","Marquee scrolls, jitter, sticker layering, GIF overload, random placement, drag-and-drop","Gen Z lifestyle brands, music artists, creative portfolios, viral marketing, fashion","Corporate, government, healthcare, banking, serious tools",✓ Full,✓ Full,⚠ Poor (heavy assets),❌ Poor,◐ Medium,✓ High (Viral),CSS-in-JS 8/10,2023+ Internet Core,High
58,Biomimetic / Organic 2.0,General,"Nature-inspired, cellular, fluid, breathing, generative, algorithms, life-like","Cellular Pink #FF9999, Chlorophyll Green #00FF41, Bioluminescent Blue","Deep Ocean #001E3C, Coral #FF7F50, Organic gradients","Breathing animations, fluid morphing, generative growth, physics-based movement","Sustainability tech, biotech, advanced health, meditation, generative art platforms","Standard SaaS, data grids, strict corporate, accounting",✓ Full,✓ Full,⚠ Moderate,✓ Good,✓ Good,✓ High,"Canvas 10/10, WebGL 10/10",2024+ Generative,High
59,Retrowave / Synthwave,General,"Neon, 80s, synthwave, retro-future, grid, scanlines, glow, vaporwave, sunset","Neon Pink #FF00FF, Electric Blue #00FFFF, Deep Purple #2D033B","Sun Yellow #F5ED4E, Sunset Orange #FF8C00, Laser Cyan #00E5FF","Glow effects (filter: drop-shadow), scanline overlays, parallax grids, VHS noise, neon flicker","Gaming platforms, music streaming, event promos, creative portfolios, lifestyle brands","Corporate dashboards, enterprise SaaS, high-readability text, financial tools",◐ Partial,✓ Full,⚠ Good,⚠ Low contrast,✓ Good,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",1980s Retro,High
60,Classic Skeuomorphism,General,"Realistic, textures, glossy, leather, wood, tactile, 3D, depth, physical world","Apple Silver #E3E3E3, Glossy Black #000000, Deep Brown #3D2B1F","Rich textures (linen, brushed metal), realistic glass reflections","High-fidelity gradients, bevels, inner glows, drop shadows (heavy), realistic hover (click sound)","Music apps (knobs/sliders), note-taking (paper texture), high-end luxury, simulation tools","Minimalist apps, modern SaaS, performance-critical sites, fast-loading mobile sites",✓ Full,✓ Full,⚠ Heavy,✓ Good,◐ Medium,✓ High,"Custom CSS 10/10, Canvas 7/10",2000s Apple,High
61,Material Design 3 (M3),General,"Dynamic color, tonal, rounded (28px), adaptive, state layers, card-based, Google","Primary M3 Blue #21005D, On-Primary #FFFFFF, Surface #FEF7FF","Tonal palettes (secondary, tertiary), color extraction, container transforms","State layers (ripple), shared axis motion, container morphing, spring physics","Android apps, enterprise tools, productivity suites, cross-platform apps","Highly artistic sites, counter-culture brands, niche creative portfolios",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"MUI 10/10, Flutter 10/10",2021 Modern,Medium
62,Flat Design 2.0,General,"Long shadows, subtle depth, high legibility, clean, vibrant, semi-flat","Vibrant Blue #1976D2, Emerald Green #2ECC71, Bright Red #E74C3C","White #FFFFFF, Off-white #F4F4F4, Dark Grey #333333","Subtle gradients, long shadows (45°), smooth color transitions, flat icons with depth","Corporate portals, landing pages, information-heavy sites, educational platforms","Immersive storytelling, artistic experimentation, brutalist designs",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Bootstrap 10/10, Tailwind 10/10",2014 Modern,Low
63,Claymorphism,General,"Soft 3D, inflated, clay, friendly, pastel, inner shadows, rounded","Pastel Pink #FFD1DC, Soft Mint #B2F2BB, Baby Blue #AEE2FF","Inner shadows (white/dark), fluffy textures, rounded corners (24px+)","Multi-layered inner shadows (inflated look), floating motion, bounce transitions","EdTech, kid-friendly apps, crypto dashboards (friendly), casual social media","Legal tech, high-finance, data-heavy tables, accessibility-first tools",✓ Full,◐ Partial,⚡ Good,⚠ High contrast needed,✓ Good,◐ Medium,"Tailwind 9/10, Framer Motion 10/10",2022 Modern,Medium
64,Memphis Design,General,"Patterns, geometric, squiggles, dots, vibrant, 80s, bold, chaotic, playful","Bright Yellow #FFF000, Magenta #FF00FF, Cyan #00FFFF","Zebra patterns, black/white stripes, bold primary circles","Instant transitions, static patterns, high-contrast borders, non-standard layout","Creative agencies, clothing brands, festival sites, pop-culture blogs","Professional SaaS, medical sites, government portals, minimalist products",✓ Full,✗ None,⚡ Good,✓ WCAG AAA,◐ Medium,◐ Medium,"Tailwind 7/10, Custom CSS 10/10",1980s Milan,Medium
65,Dark UI (Amoled),General,"Pure black, high contrast, battery-saving, sleek, OLED, neon accents","True Black #000000, Dark Grey #121212","Accent Blue #007AFF, Accent Green #34C759, White #FFFFFF","Subtle glow on accents, sharp borders, deep layering, fade-in animations","Mobile apps (iOS/Android), entertainment, coding IDEs, night-time tools","B2B white-label apps, outdoor kiosks, print-focused designs, high-light environments",✗ None,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Bootstrap 9/10",2018+ Modern,Low
66,Bauhaus Style,General,"Geometric, primary colors, functional, font-heavy, grid, asymmetrical","Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000","Canvas Beige #E7E1D2, Graphite #2C2C2C","Sharp cuts, no shadows, geometric masks, scroll-driven typography","Art schools, architectural sites, design blogs, fashion editorial","Mainstream e-commerce, banking, gaming apps, highly interactive dashboards",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AAA,✓ Good,◐ Medium,"Tailwind 9/10, CSS Grid 10/10",1920s German,Medium
67,Cyberpunk 2077 Style,General,"Glitch, futuristic, high-tech, high-contrast, hazard patterns, neon yellow","Hazard Yellow #FCEE0A, Electric Blue #00F0FF, Hot Pink #F500FF","Carbon Fiber Grey #151515, Red Alerts #FF003C","Glitch effects, flickering text, scanning lines, distorted images, rapid motion","Gaming hardware sites, tech blogs, cyberpunk media, alternative portfolios","Child-friendly apps, professional services, healthcare, minimalist tools",◐ Partial,✓ Full,⚠ Heavy,⚠ Contrast issues,✓ Good,◐ Medium,"Tailwind 8/10, Three.js 9/10",2020s Scifi,High
68,Soft UI (Pastel),General,"Gentle, low-contrast, calming, airy, floating, rounded, minimal","Cloud Blue #E3F2FD, Lavender #F3E5F5, Peach #FFF3E0","White #FFFFFF, Soft Grey #F5F5F5, Subtle Gold","Soft floating (y-axis animation), low-opacity shadows, slow fades, rounded corners (16px)","Meditation apps, sleep trackers, skincare brands, lifestyle blogs","High-stakes trading, data analytics, accessibility-critical tools",✓ Full,✗ Low,⚡ Good,⚠ Low contrast,✓ High,◐ Medium,"Tailwind 9/10, Chakra UI 9/10",2023 Modern,Low
69,Art Deco Modern,General,"Symmetry, geometric, gold, elegance, streamlined, luxurious, high contrast, decorative borders","Gold #D4AF37, Deep Navy #000080, Emerald Green #50C878","Cream #FFFDD0, Black #000000, Silver #C0C0C0","Linear gradients, sharp geometric masks, slow fades, gold shimmer (radial gradient), thin strokes","Luxury brands, high-end hospitality, fine dining, jewelry e-commerce, invitations","Tech startups, budget services, data-heavy dashboards, children's apps",✓ Full,✓ Full,⚡ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 8/10, Custom CSS 10/10",1920s Art Deco,Medium
70,Solarpunk,General,"Greenery, optimistic, sustainable, organic, bright, solar-powered, lush, technology-in-nature","Nature Green #2E8B57, Sky Blue #87CEEB, Solar Gold #FFD700","Terra Cotta #E2725B, Leaf Green #32CD32, Sun White #FFFFF0","Leaf-sway motion, gentle sunlight flares, rounded organic shapes, SVG growth animations","Sustainability tech, eco-friendly brands, community portals, urban farming apps","Heavy industry, dark mode-only sites, aggressive marketing, corporate banking",✓ Full,◐ Partial,⚡ Good,✓ WCAG AAA,✓ High,✓ High,"Tailwind 9/10, GSAP 10/10",2010s Solarpunk,Medium
71,Brutalist Grunge,General,"Rough, distressed, paper texture, scanned, raw, DIY, typewriter, messy","Charcoal #333333, Ink Black #000000, Off-white #F2F2F2","Rust Red #B7410E, Mustard #E1AD01, Blue Ink #0000FF","Jittery hover, grainy overlays, image displacement, instant page transitions, no shadows","Underground music, zines, art collectives, alternative fashion, experimental portfolios","Medical tech, banking, corporate enterprise, government portals",✓ Full,✓ Full,⚡ Excellent,⚠ Low contrast,◐ Medium,✗ Low,"Tailwind 7/10, Custom CSS 10/10",1990s Grunge,Low
72,High-Fashion Editorial,General,"Large imagery, serif-heavy, whitespace, sophisticated, minimal navigation, high-contrast","Pure White #FFFFFF, Deep Black #000000, Taupe #483C32","Silk Grey #DCD9D4, Vogue Red #C41E3A, Gold #D4AF37","Smooth parallax, reveal-on-scroll, split-screen layouts, letter-spacing transitions","Fashion magazines, modeling agencies, luxury retail, photography portfolios","Data analytics, complex SaaS, educational wikis, utility tools",✓ Full,✓ Full,⚠ Good,✓ Good,✓ Good,✓ High,"Tailwind 9/10, Framer Motion 10/10",1990s Editorial,Medium
73,8-Bit Retro Gaming,General,"Pixelated, blocky, vibrant, arcade, nostalgic, low-res, chunky fonts","Gameboy Green #9BBC0F, Mario Red #FF0000, Sky Blue #5C94FC","Coin Gold #F8D800, Brick Brown #885418, Black #000000","Blinking text, sprite-based icons, step-motion transitions (no easing), pixel-perfect scaling","Gaming communities, indie game dev sites, retro blogs, casual social apps","Corporate law, finance dashboards, high-fidelity luxury, medical apps",✓ Full,✓ Full,⚡ Excellent,⚠ Low contrast,✓ Good,◐ Medium,"Tailwind 8/10, Canvas 10/10",1980s Arcade,Low
74,Glitch Art UI,General,"Digital errors, distortion, RGB split, high energy, technical, fractured","Vibrant Purple #8B00FF, Electric Lime #CCFF00, Cyan #00FFFF","Magenta #FF00FF, Dark Grey #1A1A1A, Signal Red #FF0000","RGB split hover, shaking text, random frame flickers, data-stream overlays, hover distortion","Music festivals, tech streetwear, cyberpunk media, creative tech agencies","Safety-critical apps, finance, accessibility-focused tools, meditation apps",◐ Partial,✓ Full,⚠ Moderate,❌ Poor,✓ Good,◐ Medium,"Tailwind 7/10, WebGL 10/10",2010s Glitch,High
75,Deconstructivism,General,"Fragmented, non-rectilinear, chaotic, layered, architectural, defying grid","Asphalt Grey #4B4B4B, Safety Orange #FF6600, Paper White #F9F9F9","Exposed Rebar Blue #4682B4, Concrete #D3D3D3, Glass Blue #A0D6E8","Slanted intersections, overlapping text, scrolling perspective shifts, gravity-defying elements","Avant-garde architecture, art museums, experimental fashion, theory blogs","Standard e-commerce, B2B dashboards, productivity tools, mobile utilities",✓ Full,✓ Full,⚠ Moderate,⚠ Poor flow,✗ Low,✗ Low,"Tailwind 6/10, Three.js 9/10",1980s Arch,High
76,Bauhaus Revival,General,"Primary colors, geometric, functionalism, sans-serif, grid-heavy, minimal","Bauhaus Red #E2001A, Bauhaus Blue #005696, Bauhaus Yellow #FFD400","Beige #F1EAD0, Black #1D1D1B, Grey #BCBEC0","Hard-edged transitions, geometric masks, rotating circles, strict grid-based movement","Design schools, art galleries, creative tools, academic journals","Entertainment apps, consumer social media, gaming, chaotic marketing",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AAA,✓ Good,◐ Medium,"Tailwind 10/10, CSS Grid 10/10",1920s Bauhaus,Low
77,Typographic Brutalism,General,"Giant text, sans-serif, black/white, minimal imagery, extreme weight, grid","Ink Black #000000, Paper White #FFFFFF","Highlight Yellow #FFFF00, Action Blue #0000FF, Grey #808080","Marquee text, vertical text, scale-on-scroll, instant hover states, sharp borders","Copywriting agencies, editorial blogs, manifesto sites, tech portfolios","Visual-heavy e-commerce, photography sites, children's content, lifestyle apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,◐ Medium,✓ High,"Tailwind 10/10, Next.js 10/10",2015+ Digital,Low
78,Skeuomorphic Industrial,General,"Metal, rivets, weathered, tactile, dials, gauges, heavy, mechanical","Brushed Steel #A5A9B4, Iron #434B4D, Caution Yellow #F9A602","Rusty Red #8B0000, Grease Black #0B0B0B, Glass Green #00FF41","Rotary dial interaction, lever switches, metallic sheen (CSS gradients), shadow depth","Audio plugins, engineering software, flight sims, hardware control panels","Consumer lifestyle, social media, baby products, minimalist SaaS",◐ Partial,✓ Full,⚠ Heavy,✓ Good,✗ Low,◐ Medium,"Tailwind 7/10, SVG 9/10",1940s Factory,High
79,Acid Graphic,General,"Psychedelic, high saturation, warped, fluid, chrome, distorted typography","Acid Green #B0FF00, Hot Magenta #FF0090, Deep Purple #2E0854","Liquid Chrome #E0E0E0, Electric Blue #0000FF, Black #000000","Warping text (SVG filters), fluid blob movement, iridescent gradients, mouse-trail effects","Streetwear brands, music labels, rave promos, creative portfolios","Corporate HR, government sites, banking, professional legal services",◐ Partial,✓ Full,⚠ Moderate,❌ Poor,✓ Good,✗ Low,"Tailwind 6/10, Three.js 10/10",1990s Rave,High
80,Lo-Fi Aesthetic,General,"Chill, nostalgic, low-fidelity, warm, grain, VHS, cozy, anime-inspired","Peach #FFDAB9, Lavender #E6E6FA, Soft Sage #B2AC88","Brown Sugar #A52A2A, Dusk Blue #4682B4, Vinyl Black #121212","Static grain overlay, slow pulse (breathing), soft focus blur, flickering light effects","Music players, meditation apps, community forums, diary/journaling apps","Real-time trading, high-speed data, professional enterprise, sports news",✓ Full,✓ Full,⚡ Good,✓ Good,✓ High,◐ Medium,"Tailwind 9/10, CSS-in-JS 9/10",2010s Internet,Low
81,Corporate Memphis 2.0,General,"Whimsical, flat, inclusive characters, bright colors, friendly, wavy","Alegria Blue #3F51B5, Soft Pink #F48FB1, Sunshine #FFF176","Teal #4DB6AC, Orange #FFB74D, Soft White #FAFAFA","Character limb animation, bouncy buttons, playful floating, smooth SVG transitions","HR platforms, SaaS landing pages, onboarding flows, insurance (friendly)","Counter-culture brands, luxury fashion, technical developer tools, gaming",✓ Full,◐ Partial,⚡ Good,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Lottie 10/10",2010s Tech,Low
82,Maximalist Psychedelic,General,"More is more, complex patterns, vibrant, clashing, dense, layered","Neon Orange #FF5F1F, Electric Pink #FF00FF, Acid Yellow #CCFF00","Rainbow gradients, checkered patterns, kaleidoscope backgrounds","Infinite scroll, auto-rotating elements, overlapping layers, intense color cycling","Art festivals, creative agencies, toy brands, experimental media","Accessibility-first sites, medical, high-finance, data dashboards",✓ Full,✓ Full,❌ Poor,❌ Poor,✗ Low,✗ Low,"Tailwind 5/10, WebGL 9/10",1960s Psychedelia,High
83,Zen / Wabi-Sabi,General,"Imperfect, natural, calm, asymmetric, earthy, quiet, high whitespace","Rice Paper #FBF7F0, Stone Grey #787276, Moss #4A5D23","Charcoal #36454F, Soft Wood #A68069, Water Blue #E0FFFF","Slow fades (1s+), very subtle parallax, minimal motion, organic layout shifts","Meditation, pottery, high-end tea brands, architecture, wellness portfolios","Fast fashion, high-energy gaming, news sites, urgent alert systems",✓ Full,✗ None,⚡ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 9/10, Vanilla CSS 10/10",Japanese Traditional,Low
84,Swiss International (Heavy Grid),General,"Red/Blue/Yellow, thick lines, bold sans-serif, strict grid, modular","Process Blue #0087BD, Process Red #E4002B, Yellow #FFD200","Grid Black #000000, Background White #FFFFFF, Grey #E6E7E8","Modular layout snap, bold border hover, strict alignment, high-contrast text","Design studios, documentation, technical wikis, architectural firms","Playful consumer apps, artistic experiments, storytelling, fashion",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Good,✓ High,"Tailwind 10/10, CSS Grid 10/10",1950s Swiss,Low
85,Vector Illustrative,General,"Custom art, hand-drawn feel, playful, unique, vibrant, scene-based","Brand Blue #1A73E8, Soft Grey #F8F9FA, Coral #FF6D00","Sky Blue #E8F0FE, Forest Green #1E8E3E, Mustard #F9AB00","Animated icons, scene scrolling (Lottie), hover-triggered art, bouncy UI","Startups, educational platforms, travel blogs, children's products","Technical documentation, high-data dashboards, financial terminals",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ High,✓ High,"Tailwind 9/10, Lottie 10/10",2020s Modern,Medium
86,Dark Academia,General,"Literary, moody, library, vintage, scholarly, deep colors, textures","Oxford Blue #002147, Burgundy #800020, Forest Green #013220","Old Paper #FDF5E6, Gold #D4AF37, Ink Black #0F0F0F","Soft vignetting, typewriter typing effect, page-flip transitions, subtle dust motes","Writing portfolios, bookstores, history blogs, academic communities","Tech hardware, fitness apps, vibrant marketing, high-performance dashboards",✗ None,✓ Full,⚠ Good,✓ Good,◐ Medium,◐ Medium,"Tailwind 8/10, Custom CSS 9/10",2020s Internet,Medium
87,Luxury Minimalism,General,"Ultra-refined, thin lines, serif, muted, expensive, quiet luxury","Matte Black #1A1A1A, Pearl White #F2F2F2, Champagne #F7E7CE","Slate #708090, Soft Gold #C5B358, Dark Grey #2F2F2F","Ultra-smooth easing (cubic-bezier), letter-spacing expansion, soft image fades","Real estate, luxury watches, private equity, high-end skincare","Budget e-commerce, casual blogs, gaming, utility software",✓ Full,✓ Full,⚡ Good,✓ Good,✓ Good,✓ High,"Tailwind 9/10, Framer Motion 10/10",2020s Modern,Low
88,Futurism (1910s inspired),General,"Speed, motion, machines, sharp angles, fragmented, dynamic, noise","Safety Red #FF0800, Industrial Grey #808080, Black #000000","Copper #B87333, Cobalt Blue #0047AB, Off-white #FAF9F6","Speed-line patterns, rapid motion blur, diagonal scrolling, sharp angular hover","Automotive, high-speed tech, performance brands, experimental design","Wellness, healthcare, children's apps, conservative finance",✓ Full,✓ Full,⚠ Moderate,⚠ Poor flow,◐ Medium,✗ Low,"Tailwind 7/10, Custom CSS 9/10",1910s Italy,High
89,Mid-Century Modern,General,"Retro-organic, geometric, warm wood, muted tones, 50s/60s, atomic","Mustard Yellow #E3B448, Avocado Green #6B8E23, Teal #008080","Walnut Brown #5D4037, Coral #FF7F50, Off-white #F5F5DC","Rounded geometric transitions, warm glow hover, flat illustrative icons","Furniture design, lifestyle blogs, vintage shops, boutique hotels","Cutting-edge tech, dark-mode heavy apps, cyberpunk, data analytics",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 9/10, SVG 9/10",1950s Design,Low
90,Constructivism,General,"Propaganda-style, bold diagonals, red/black, geometric, industrial, raw","Soviet Red #CC0000, Stark Black #000000, Industrial Grey #D3D3D3","Beige #F5F5DC, White #FFFFFF, Steel Blue #4682B4","Stark cuts, diagonal text movement, mechanical-feeling transitions, no shadows","Editorial, social justice sites, architectural manifestos, art history","E-commerce, wellness, luxury, mainstream corporate",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,◐ Medium,✗ Low,"Tailwind 9/10, CSS Grid 10/10",1920s Russia,Low
91,Pop Art UI,General,"Ben-Day dots, comic bold, primary, vibrant, celebrity-style, flat","Pop Yellow #FFFF00, Cyan #00FFFF, Magenta #FF00FF","Black Outline #000000, White #FFFFFF, Ben-Day Dot Grey","Animated dots, bold text bubbles, instant pop-up transitions, high-contrast hover","Culture blogs, trendy apparel, digital art, social entertainment","Professional services, medical, B2B SaaS, scientific tools",✓ Full,✗ None,⚡ Good,✓ WCAG AAA,✓ High,✓ High,"Tailwind 8/10, SVG 10/10",1960s Art,Medium
92,Gothic Digital,General,"Blackletter, dark, ornate, spikes, Victorian, ominous, high detail","Deep Black #000000, Blood Red #8B0000, Silver #C0C0C0","Dark Purple #301934, Charcoal #121212, White #FFFFFF","Ornate border expansion, flickering candlelight, sharp hover accents, slow mist","Heavy metal bands, horror media, alternative fashion, gaming","Corporate finance, wellness, government, child-friendly apps",✗ None,✓ Full,⚠ Good,⚠ Low contrast,◐ Medium,✗ Low,"Tailwind 7/10, Custom CSS 10/10",2020s Alt-Digital,High
93,Steampunk Interface,General,"Brass, copper, gears, Victorian tech, leather, gauges, steam","Brass #B5A642, Copper #B87333, Dark Leather #3D2B1F","Steam White #F2F2F2, Gear Grey #707070, Emerald #50C878","Rotating gears, steam particle effects, analog dial movement, mechanical clicks","Tabletop RPGs, niche hobby sites, creative storytelling, steampunk games","Corporate banking, modern tech, health apps, minimalist products",◐ Partial,✓ Full,⚠ Heavy,✓ Good,✗ Low,◐ Medium,"Tailwind 6/10, GSAP 10/10",19th Century Tech,High
