pkg_name,category,description,best_practice_snippet,pro_tip,alternatives
flutter_screenutil,UI,Thiết kế UI dựa trên một kích thước chuẩn (design size) và tự động scale.,"Container(width: 100.w, height: 50.h);",Phù hợp khi bạn có file thiết kế Figma chi tiết và muốn UI giống hệt trên mọi thiết bị.,sizer
sizer,UI,Cung cấp các extension để thiết lập kích thước theo phần trăm màn hình.,"Container(width: 20.w, height: 10.h);",Rất nhẹ và dễ nhớ; phù hợp cho các layout đơn giản cần đáp ứng nhiều màn hình.,flutter_screenutil
font_awesome_flutter,UI,Bộ sưu tập biểu tượng FontAwesome khổng lồ cho Flutter.,FaIcon(FontAwesomeIcons.gamepad);,Sử dụng thay thế icon mặc định để app trông hiện đại và chuyên nghiệp hơn.,lucide_icons
lucide_icons,UI,"Gói biểu tượng Lucide đẹp, tinh tế và được cập nhật thường xuyên.",Icon(LucideIcons.home);,Style icon mảnh và hiện đại; rất hợp với phong cách thiết kế tối giản.,font_awesome_flutter
line_icons,UI,Hơn 1200 biểu tượng Line Icons được tối ưu hóa cho di động.,Icon(LineIcons.user);,Lựa chọn tuyệt vời nếu bạn thích icon dạng đường nét (line art).,cupertino_icons
flutter_spinkit,UI,Tập hợp các hiệu ứng loading (spinner) đẹp mắt và đa dạng.,SpinKitRotatingCircle(color: Colors.white, size: 50.0);,Thay thế CircularProgressIndicator mặc định để tạo điểm nhấn cho app.,loading_animation_widget
loading_animation_widget,UI,Thư viện các animation loading độc đáo và mượt mà.,LoadingAnimationWidget.staggeredDotsWave(...);,Cung cấp nhiều kiểu loading mà flutter_spinkit không có; dễ tùy chỉnh màu sắc.,flutter_spinkit
liquid_swipe,UI,Hiệu ứng chuyển trang dạng chất lỏng cực kỳ ấn tượng.,LiquidSwipe(pages: [...]);,Tạo trải nghiệm Onboarding độc đáo để thu hút người dùng ngay từ lần đầu mở app.,concentric_transition
confetti,UI,Tạo hiệu ứng bắn pháo hoa giấy (confetti) tưng bừng trên màn hình.,ConfettiWidget(confettiController: _controller);,Sử dụng khi người dùng hoàn thành một task hoặc nhận được phần thưởng.,None
flutter_markdown,UI,Render văn bản định dạng Markdown thành các Widget Flutter.,Markdown(data: _markdownSource);,Hỗ trợ tốt cho việc hiển thị nội dung blog; điều khoản sử dụng hoặc hướng dẫn.,flutter_html
flutter_html,UI,Hiển thị nội dung HTML và CSS cơ bản trong ứng dụng Flutter.,Html(data: '<div>Hello World</div>');,Hữu ích khi cần hiển thị nội dung lấy từ các CMS cũ hoặc API trả về HTML.,webview_flutter
pdfx,UI,Thư viện hiển thị file PDF hiệu suất cao dựa trên engine native.,PdfViewPinch(controller: _pdfController);,Hỗ trợ zoom; kéo thả mượt mà hơn nhiều so với các plugin PDF cũ.,syncfusion_flutter_pdfviewer
printing,Utility,Tạo và in các tài liệu PDF trực tiếp từ ứng dụng.,await Printing.layoutPdf(onLayout: (format) => _generatePdf(format));,Có thể kết hợp với `pdf` package để tạo hóa đơn và in qua máy in không dây.,None
open_filex,Utility,Mở các loại file bất kỳ bằng ứng dụng mặc định trên hệ điều hành.,OpenFilex.open('/sdcard/download/test.pdf');,Tự động chọn app phù hợp để mở file (Word; Excel; PDF; Image).,url_launcher
file_picker,Utility,Cho phép người dùng chọn file từ bộ nhớ hoặc các dịch vụ đám mây.,FilePickerResult? result = await FilePicker.platform.pickFiles();,Hỗ trợ chọn nhiều file; lọc theo định dạng và lấy dữ liệu dưới dạng byte.,image_picker
receive_sharing_intent,Utility,Lắng nghe và xử lý dữ liệu được chia sẻ từ các app khác sang app của bạn.,ReceiveSharingIntent.getTextStream().listen((String value) {...});,Cần thiết để xây dựng các tính năng như 'Save to App' hoặc chia sẻ ảnh từ thư viện.,None
vibration,Utility,Kích hoạt rung thiết bị với các pattern tùy chỉnh.,Vibration.vibrate(duration: 1000);,Sử dụng rung nhẹ (Haptic Feedback) để phản hồi khi người dùng nhấn nút hoặc gặp lỗi.,None
battery_plus,Utility,Cung cấp thông tin về dung lượng pin; trạng thái sạc và chế độ tiết kiệm pin.,var batteryLevel = await _battery.batteryLevel;,Giúp cảnh báo người dùng khi pin yếu hoặc thay đổi logic app khi đang sạc.,None
network_info_plus,Utility,"Lấy thông tin chi tiết về mạng Wifi hiện tại (SSID, BSSID, IP).",final wifiName = await _networkInfo.getWifiName();,Cần quyền truy cập vị trí trên Android để có thể lấy được tên Wifi (SSID).,connectivity_plus
workmanager,Utility,Thực hiện các tác vụ chạy ngầm (Background Task) định kỳ hoặc một lần.,Workmanager().registerPeriodicTask('task-id', 'task-name');,Giải pháp tốt nhất để đồng bộ dữ liệu hoặc gửi thông báo khi app không hoạt động.,None
auth_buttons,UI,"Bộ sưu tập các nút đăng nhập mạng xã hội đúng chuẩn thiết kế (Google, Apple, FB).",GoogleAuthButton(onPressed: () {});,Tiết kiệm thời gian styling các nút login theo đúng guideline của các nền tảng.,None
flutter_swipe_action_cell,UI,Thêm các hành động vuốt (swipe) cho item trong danh sách với UI đẹp mắt.,SwipeActionCell(trailingActions: [...], child: ...);,Dễ tùy chỉnh và mượt mà hơn so với Dismissible mặc định của Flutter.,flutter_slidable
side_sheet,UI,Hiển thị các bảng điều khiển từ cạnh màn hình (Side Sheets).,SideSheet.showRightSideSheet(context: context, body: ...);,Rất hữu ích cho các ứng dụng trên Tablet hoặc Desktop để hiển thị bộ lọc/chi tiết.,modal_bottom_sheet
elegant_notification,UI,Thư viện hiển thị thông báo nội bộ (In-app notification) tinh tế.,ElegantNotification.success(title: Text('Success'), ...).show(context);,Thay thế tuyệt vời cho SnackBar nếu bạn muốn giao diện hiện đại và có animation.,toastification
flutter_windowmanager,Utility,Kiểm soát các thuộc tính cửa sổ ứng dụng (chặn chụp màn hình; giữ màn hình sáng).,await FlutterWindowManager.addFlags(FlutterWindowManager.FLAG_SECURE);,Sử dụng FLAG_SECURE để bảo vệ nội dung nhạy cảm khỏi việc chụp màn hình/quay phim.,None
device_marketing_names,Utility,"Chuyển đổi model code (như iPhone 15,3) sang tên thương mại (iPhone 14 Pro).",final deviceName = await DeviceMarketingNames().getSingleName();,Giúp log lỗi hoặc hiển thị thông tin thiết bị thân thiện hơn với người dùng.,device_info_plus
