pattern_name,category,problem_tags,description,key_widgets,code_snippet,anti_pattern
Path Provider (File Storage),Data,"file, path, directory, lưu file","Lấy đường dẫn thư mục chuẩn để lưu file tạm hoặc file document.","path_provider","final directory = await getApplicationDocumentsDirectory(); final file = File('${directory.path}/my_file.txt');","Hardcode đường dẫn `/sdcard/...` (lỗi trên Android mới và iOS)."
Hive Database Setup,Data,"nosql, db, local, storage, cơ sở dữ liệu","Thiết lập DB NoSQL Hive nhanh và nhẹ.","hive_flutter","await Hive.initFlutter(); var box = await Hive.openBox('settings'); box.put('darkMode', true);","Mở box nhiều lần mà không kiểm tra đã mở chưa (`Hive.isBoxOpen`)."
Logger Utility,Logic,"log, debug, print, nhật ký","In log đẹp, có màu và tag để dễ debug.","logger","var logger = Logger(); logger.d('Debug message'); logger.e('Error message');","Dùng `print` cho mọi thứ (khó lọc log và làm rác console production)."
Extension Methods (String),Logic,"extension, utility, string, tiện ích","Thêm hàm tiện ích trực tiếp vào lớp String (ví dụ validate email).","dart extension","extension StringExt on String { bool get isValidEmail => RegExp(r'^[\w-\.]+@([\w-]+\.)+[\w-]{2,4}$').hasMatch(this); }","Viết các hàm Utils static rời rạc khó gọi (`Utils.isValidEmail(str)`)."
GetIt Service Locator,Architecture,"di, singleton, service, quản lý dịch vụ","Đăng ký và lấy các service (API, Auth) từ một nơi duy nhất.","get_it","GetIt.I.registerSingleton<AuthService>(AuthService()); // Usage: GetIt.I<AuthService>().login();","Khởi tạo service ở khắp nơi (`new AuthService()`)."
Equatable (Value Equality),Logic,"compare, state, equality, so sánh","So sánh hai object dựa trên giá trị thay vì tham chiếu (dùng cho State Management).","equatable","class User extends Equatable { final int id; const User(this.id); @override List<Object> get props => [id]; }","So sánh thủ công `user1.id == user2.id` ở nhiều nơi."
Cascade Operator Usage,Logic,"dart, syntax, clean code, cú pháp","Thực hiện nhiều thao tác trên cùng 1 object mà không cần lặp lại tên biến.",".. operator","final list = [] ..add(1) ..add(2) ..sort();","Viết `list.add(1); list.add(2); list.sort();` dòng dài dòng."
Collection If/For,Logic,"dart, list, ui, syntax, danh sách điều kiện","Dùng if/for ngay trong mảng widget children.","collection if","Column(children: [ Text('Title'), if (isLoading) CircularProgressIndicator(), for (var item in items) Text(item), ])","Dùng toán tử 3 ngôi phức tạp hoặc hàm `buildList()` riêng lẻ không cần thiết."
Const Constructor Optimization,Performance,"const, memory, optimization, tối ưu bộ nhớ","Sử dụng const cho các widget không thay đổi để tránh rebuild không cần thiết.","const","const Text('Static Title'); const SizedBox(height: 10);","Quên từ khóa `const` ở những nơi có thể dùng, làm tăng lượng rác bộ nhớ (GC)."
Factory Constructor,Logic,"dart, class, constructor, factory","Constructor trả về instance có sẵn hoặc từ cache thay vì luôn tạo mới.","factory","class Logger { static final Logger _instance = Logger._internal(); factory Logger() => _instance; Logger._internal(); }","Không dùng Singleton cho các class nặng (Database, Network Client)."
Named Parameters,Logic,"dart, function, arguments, tham số","Sử dụng tham số có tên để code dễ đọc và tùy chọn.","{}","void connect({required String host, int port = 80}) { ... } // Usage: connect(host: 'localhost');","Dùng quá nhiều tham số vị trí (`connect('localhost', 80, true, 5000)`) gây khó hiểu."
Isolate Spawn (Worker),Performance,"isolate, thread, parallel, đa luồng","Tạo luồng xử lý song song thủ công cho tác vụ cực nặng.","Isolate","void worker(SendPort port) { port.send('Done'); } // Usage: await Isolate.spawn(worker, receivePort.sendPort);","Giao tiếp giữa các Isolate quá phức tạp mà không dùng `compute` cho tác vụ đơn giản."
Flutter Hooks (UseEffect),State Management,"hooks, functional, state, react style","Quản lý vòng đời widget (init, dispose) gọn gàng như React Hooks.","flutter_hooks","class MyWidget extends HookWidget { @override Widget build(context) { useEffect(() { print('Init'); return () => print('Dispose'); }, []); return Container(); } }","Dùng `StatefulWidget` với quá nhiều boilerplate code cho logic đơn giản."
Analytic Event Tracking,Data,"analytics, log, tracking, thống kê","Gửi sự kiện người dùng thao tác về hệ thống phân tích (Firebase Analytics).","firebase_analytics","await FirebaseAnalytics.instance.logEvent( name: 'select_content', parameters: {'content_id': '123', 'content_type': 'image'}, );","Gửi string cứng (hardcoded strings) thay vì dùng hằng số (constants) cho tên sự kiện."
Crashlytics Error Reporting,Data,"crash, error, bug, báo lỗi","Tự động bắt lỗi crash và gửi về Firebase Crashlytics.","firebase_crashlytics","FlutterError.onError = FirebaseCrashlytics.instance.recordFlutterFatalError; // Catch non-fatal try { ... } catch (e, s) { FirebaseCrashlytics.instance.recordError(e, s); }","Chỉ in lỗi ra console và bỏ qua, không biết user gặp lỗi gì."
Environment Config (Flavors),Architecture,"config, flavor, dev, prod, môi trường","Cấu hình biến môi trường riêng cho Dev, Staging, Production.","flutter_dotenv / Entry Points","const apiUrl = String.fromEnvironment('API_URL', defaultValue: 'https://dev.api.com');","Sửa code thủ công mỗi khi build bản Dev hoặc Prod."
Asset Image Loading,UI/UX,"image, asset, resource, ảnh nội bộ","Load ảnh từ thư mục assets tối ưu.","Image.asset","Image.asset('assets/images/logo.png', width: 100, fit: BoxFit.contain);","Quên khai báo đường dẫn trong `pubspec.yaml`."
Gradient Background,UI/UX,"color, ui, gradient, màu nền","Tạo nền chuyển màu đẹp mắt.","BoxDecoration, LinearGradient","Container( decoration: BoxDecoration( gradient: LinearGradient( colors: [Colors.blue, Colors.purple], begin: Alignment.topLeft, end: Alignment.bottomRight, ) ) )","Dùng ảnh nền gradient nặng nề thay vì vẽ bằng code."
ClipRRect (Rounded Image),UI/UX,"image, border radius, bo góc, ảnh tròn","Bo tròn các góc của ảnh hoặc widget con.","ClipRRect","ClipRRect( borderRadius: BorderRadius.circular(8.0), child: Image.network(url), )","Dùng `Container` có `decoration` nhưng ảnh con vẫn bị vuông (không clip)."
Global Error Handler,Architecture,"error, exception, zone, xử lý lỗi toàn cục","Bắt tất cả các lỗi chưa được xử lý trong ứng dụng (Red screen guard).","runZonedGuarded","runZonedGuarded(() { runApp(MyApp()); }, (error, stack) { // Report error logic });","Để màn hình đỏ (Red Screen of Death) hiện ra trước mặt người dùng cuối."
Theme Extension (Custom Colors),UI/UX,"theme, color, design system, màu tùy chỉnh","Thêm các màu sắc custom vào ThemeData chuẩn của Flutter.","ThemeExtension","@override ThemeExtension<MyColors> copyWith(...) { ... } // Usage: Theme.of(context).extension<MyColors>()!.brandColor","Thêm biến static `MyColors.red` rời rạc, không đổi theo Theme Mode (Light/Dark) được."
Dynamic Grid Axis Count,UI/UX,"grid, responsive, layout, lưới động","Thay đổi số cột của GridView dựa trên chiều rộng màn hình.","SliverGridDelegateWithMaxCrossAxisExtent","GridView.builder( gridDelegate: SliverGridDelegateWithMaxCrossAxisExtent( maxCrossAxisExtent: 200, childAspectRatio: 3/2, ), ... )","Fix cứng `crossAxisCount: 2` khiến giao diện xấu trên tablet/iPad."
Scroll to Top Button,UI/UX,"scroll, button, navigation, cuộn lên đầu","Nút bấm để cuộn nhanh lên đầu trang danh sách.","ScrollController","FloatingActionButton( onPressed: () => controller.animateTo(0, duration: Duration(seconds: 1), curve: Curves.easeOut), child: Icon(Icons.arrow_upward), )","Dùng `jumpTo(0)` gây giật cục thay vì `animateTo`."
Keyboard Dismiss (Unfocus),UI/UX,"keyboard, input, focus, ẩn bàn phím","Tự động ẩn bàn phím khi bấm ra ngoài vùng nhập liệu.","GestureDetector, FocusScope","GestureDetector( onTap: () => FocusScope.of(context).unfocus(), child: Scaffold(...), )","Bắt người dùng phải bấm nút Done trên bàn phím mới ẩn được."
Retry Policy (API),Data,"api, retry, error, thử lại","Tự động gọi lại API nếu thất bại (mạng yếu).","retry / dio_smart_retry","final response = await retry( () => client.get('...'), retryIf: (e) => e is SocketException, maxAttempts: 3, );","Không có cơ chế retry, báo lỗi ngay lập tức khi mạng chập chờn."
Sliver Fill Remaining,UI/UX,"layout, scroll, center, căn giữa","Hiển thị nội dung căn giữa màn hình hoặc lấp đầy khoảng trống trong CustomScrollView.","SliverFillRemaining","SliverFillRemaining( hasScrollBody: false, child: Center(child: Text('Empty')), )","Dùng `SliverToBoxAdapter` và set height thủ công."
Auto Size Text,UI/UX,"text, scale, font size, chữ tự động","Tự động giảm kích thước chữ để vừa khung chứa.","auto_size_text","AutoSizeText('Very long title', maxLines: 1, minFontSize: 12);","Để text bị cắt (ellipsis) quá sớm khi vẫn còn chỗ trống."
Badges (Notification Count),UI/UX,"notification, badge, icon, thông báo","Hiển thị số lượng thông báo trên icon.","badges","Badge( badgeContent: Text('3', style: TextStyle(color: Colors.white)), child: Icon(Icons.shopping_cart), )","Tự dùng Stack và Positioned căn chỉnh thủ công (lệch trên các máy khác nhau)."
Skeltonizer (Loading UI),UI/UX,"loading, skeleton, ui, hiệu ứng chờ","Tự động biến UI thật thành khung loading skeleton mà không cần viết widget riêng.","skeletonizer","Skeletonizer( enabled: isLoading, child: RealUIWidget(data: mockData), )","Viết riêng một widget `LoadingItem` và phải bảo trì cả 2 bản UI."
Gap (Spacing),UI/UX,"layout, spacing, margin, khoảng cách","Thay thế SizedBox để tạo khoảng cách giữa các widget (dễ đọc hơn).","gap","Column(children: [Text('A'), Gap(10), Text('B')]);","Dùng `Padding` bao bọc từng widget chỉ để tạo khoảng trống."
Freezed Union Handling,Logic,"state, pattern matching, union","Xử lý các case của Union Type (Freezed) an toàn.","freezed, map/when","state.map( data: (d) => ShowData(d), error: (e) => ShowError(e), loading: (_) => ShowLoading(), );","Dùng `if (state is Data)` và ép kiểu thủ công."
Value Key (Widget Identity),Performance,"key, widget, update, định danh","Giúp Flutter phân biệt các widget trong danh sách khi thứ tự thay đổi.","ValueKey","ListView( children: items.map((item) => ListTile(key: ValueKey(item.id), ...)).toList() )","Không dùng Key hoặc dùng `index` làm Key (gây lỗi khi xóa/thêm item)."
Interactive Bottom Sheet,UI/UX,"bottom sheet, modal, drag, menu kéo","BottomSheet có thể tương tác (cuộn bên trong) và đóng khi kéo xuống.","showModalBottomSheet","showModalBottomSheet( isScrollControlled: true, builder: (_) => DraggableScrollableSheet(...) );","Bottom Sheet bị cố định chiều cao, không hiển thị hết nội dung."
Check Internet Connection Stream,System,"network, wifi, stream, theo dõi mạng","Lắng nghe thay đổi trạng thái mạng theo thời gian thực.","connectivity_plus","Connectivity().onConnectivityChanged.listen((ConnectivityResult result) { // Update UI status });","Chỉ kiểm tra một lần lúc gọi API."
Pill Button Padding,UI/UX,"button, pill, stadium, border radius, padding, text clipped, chữ bị cắt, nút bo tròn","Khi dùng button dạng pill (borderRadius = height/2), cần tăng padding horizontal để text không bị cắt ở hai đầu do vùng bo tròn chiếm không gian.","ElevatedButton, FilledButton, OutlinedButton","ElevatedButton( style: ElevatedButton.styleFrom( shape: StadiumBorder(), padding: EdgeInsets.symmetric(horizontal: 32, vertical: 16), // horizontal >= borderRadius + 8 ), child: Text('Nhận Chuyến'), )","Dùng default padding với pill button hoặc fixed height mà không tính toán padding. Ví dụ sai: SizedBox(height: 50, child: ElevatedButton(borderRadius: 25)) với default padding sẽ làm text bị cắt."
Skeleton Loading (Shimmer),UI/UX,"skeleton, loading, shimmer, trải nghiệm người dùng, placeholder","Hiển thị các khối màu có hiệu ứng chuyển động thay vì vòng xoay loading để mô phỏng bố cục dữ liệu sắp tải lên, giúp giảm cảm giác chờ đợi.","Shimmer package, Container, CustomPainter","Shimmer.fromColors(baseColor: Colors.grey[300]!, highlightColor: Colors.grey[100]!, child: ListView.builder(itemBuilder: (_, __) => ListTile(title: Container(height: 16, color: Colors.white))));","Sử dụng CircularProgressIndicator đơn điệu cho các danh sách phức tạp. Để màn hình trắng trơn trong lúc đợi API phản hồi."
Dependency Injection (GetIt/Provider),Architecture,"dependency injection, di, decouple, quản lý instance, service locator","Sử dụng một container để đăng ký và truy xuất các service (như API Client, Database) giúp mã nguồn dễ bảo trì và dễ dàng viết Unit Test bằng cách mock dữ liệu.","GetIt, Provider, Repository Pattern","final getIt = GetIt.instance; void setup() { getIt.registerLazySingleton(() => ApiServiceImpl()); } // Usage: final api = getIt();","Khởi tạo trực tiếp (Hardcoded) các instance của service ngay trong Widget hoặc trong hàm constructor khiến code bị phụ thuộc chặt chẽ (tight coupling)."
Form Validation with GlobalKey,Logic,"form, validation, input, textfield, kiểm tra dữ liệu","Sử dụng Form widget kết hợp với GlobalKey để đồng bộ hóa việc kiểm tra tính hợp lệ của tất cả các trường nhập liệu trong form chỉ với một lệnh gọi duy nhất.","Form, TextFormField, GlobalKey","final _formKey = GlobalKey(); void _submit() { if (_formKey.currentState!.validate()) { // Process data } }","Kiểm tra điều kiện onChanged cho từng TextField một cách thủ công và lưu nhiều biến trạng thái lỗi riêng lẻ, gây khó khăn khi quản lý form lớn."
Local Database (sqflite/Isar),Architecture,"offline, database, storage, persistence, dữ liệu cục bộ","Sử dụng cơ sở dữ liệu quan hệ hoặc NoSQL để lưu trữ dữ liệu người dùng trên thiết bị, cho phép ứng dụng hoạt động mượt mà ngay cả khi không có kết nối internet.","sqflite, Isar, PathProvider","final database = await openDatabase(join(await getDatabasesPath(), 'app_database.db'), version: 1); await database.insert('users', {'id': 1, 'name': 'Gemini'});","Lưu trữ một lượng lớn dữ liệu có cấu trúc phức tạp vào SharedPreferences, dẫn đến hiệu năng đọc/ghi kém và khó truy vấn."
Dynamic Theme Switching,UI/UX,"dark mode, theme, dynamic colors, giao diện, light/dark","Quản lý trạng thái ThemeMode của ứng dụng thông qua một Provider hoặc Bloc để cho phép người dùng thay đổi giao diện (Sáng/Tối) ngay lập tức mà không cần khởi động lại app.","MaterialApp, ThemeMode, ThemeData","MaterialApp(theme: lightTheme, darkTheme: darkTheme, themeMode: ref.watch(themeProvider), home: HomeScreen());","Sử dụng các giá trị màu cứng (hardcoded colors) như Colors.black trực tiếp trong Widget thay vì dùng Theme.of(context).colorScheme."
Global Error Handling (FlutterError.onError),Architecture,"error handling, crashlytics, exception, bắt lỗi, logging","Thiết lập một điểm tập trung để bắt tất cả các lỗi runtime chưa được xử lý trong ứng dụng, sau đó ghi log hoặc gửi báo cáo lỗi về server (như Firebase Crashlytics).","FlutterError, Zone, FirebaseCrashlytics","FlutterError.onError = (details) { FlutterError.presentError(details); FirebaseCrashlytics.instance.recordFlutterError(details); };","Chỉ sử dụng try-catch ở những nơi cục bộ và bỏ qua các lỗi không lường trước được khiến ứng dụng bị văng (crash) mà không có thông báo."
Custom Painter for Complex Shapes,UI/UX,"custom drawing, canvas, graphic, đồ họa, hình dạng phức tạp","Sử dụng lớp CustomPainter để vẽ trực tiếp lên Canvas các hình dạng, biểu đồ hoặc hiệu ứng hình ảnh tùy chỉnh mà các widget tiêu chuẩn của Flutter không thể đáp ứng được.","CustomPaint, Canvas, Path","class MyPainter extends CustomPainter { @override void paint(Canvas canvas, Size size) { var paint = Paint()..color = Colors.blue; canvas.drawCircle(Offset(size.width/2, size.height/2), 50, paint); } }","Lồng ghép quá nhiều Container và ClipRRect để cố gắng tạo ra các hình dạng phức tạp, làm tăng độ sâu của Widget tree và giảm hiệu năng."
Repository Pattern,Architecture,"repository, data layer, abstraction, clean code, api vs local","Tạo một lớp trung gian (Repository) để trừu tượng hóa việc lấy dữ liệu từ đâu (Remote API hay Local Cache), giúp lớp UI không cần quan tâm đến nguồn dữ liệu thực tế.","Abstract Class, Dio, Hive/Isar","abstract class UserRepository { Future getUser(int id); } class UserRepositoryImpl implements UserRepository { ... }","Gọi trực tiếp các phương thức của Dio hoặc http client ngay trong logic của UI Widget hoặc Bloc/Riverpod."
Reorderable List View,UI/UX,"drag and drop, reorder, sắp xếp, danh sách, kéo thả","Cho phép người dùng thay đổi thứ tự các phần tử trong danh sách bằng cách kéo và thả, thường dùng cho danh sách việc cần làm hoặc cài đặt cá nhân hóa.","ReorderableListView, List.insert","ReorderableListView(onReorder: (oldIndex, newIndex) { setState(() { if (oldIndex < newIndex) newIndex -= 1; final item = items.removeAt(oldIndex); items.insert(newIndex, item); }); }, children: [...]);","Không xử lý lại logic index khi phần tử được di chuyển từ trên xuống dưới, dẫn đến lỗi RangeError hoặc sai vị trí phần tử."
FutureBuilder with ConnectionState,Logic,"async data, future, loading state, bất đồng bộ, xử lý trạng thái","Sử dụng FutureBuilder để tự động xây dựng giao diện dựa trên các trạng thái của một Future (đang chờ, hoàn thành, hoặc có lỗi) mà không cần quản lý state thủ công.","FutureBuilder, AsyncSnapshot, CircularProgressIndicator","FutureBuilder(future: fetchData(), builder: (context, snapshot) { if (snapshot.connectionState == ConnectionState.waiting) return CircularProgressIndicator(); if (snapshot.hasError) return Text('Error'); return Text('Data: ${snapshot.data}'); });","Quên kiểm tra snapshot.hasError hoặc connectionState, dẫn đến việc truy cập vào dữ liệu null khi Future chưa hoàn thành."
Custom Clipping with CustomClipper,UI/UX,"clip, shape, curve, UI, custom shape","Sử dụng CustomClipper để cắt các widget thành các hình dạng độc đáo như đường cong, sóng hoặc các góc cạnh không tiêu chuẩn.","ClipPath, CustomClipper, Path","class MyClipper extends CustomClipper { @override Path getClip(Size size) { var path = Path(); path.lineTo(0, size.height - 50); path.quadraticBezierTo(size.width/2, size.height, size.width, size.height-50); path.lineTo(size.width, 0); return path; } }","Sử dụng quá nhiều ClipPath lồng nhau hoặc các hình dạng quá phức tạp làm giảm hiệu năng render frame."
Background Fetch,Logic,"background task, fetch, sync, lặp lại, chạy ngầm","Sử dụng các gói như background_fetch để thực hiện các tác vụ nhẹ (như đồng bộ dữ liệu) định kỳ ngay cả khi ứng dụng đang ở chế độ nền hoặc đã đóng.","background_fetch, Headless Task","void backgroundFetchHeadlessTask(HeadlessTask task) { String taskId = task.taskId; if (taskId == 'your_task_id') { // Do work } BackgroundFetch.finish(taskId); }","Thực hiện các tác vụ nặng về CPU hoặc chiếm dụng nhiều bộ nhớ trong background task dẫn đến bị hệ điều hành tắt ứng dụng."
Method Channels,Architecture,"native, bridge, java, swift, tích hợp hệ thống","Thiết lập kênh giao tiếp giữa code Dart và code Native (Kotlin/Swift) để sử dụng các tính năng phần cứng hoặc SDK mà Flutter chưa hỗ trợ trực tiếp.","MethodChannel, platform-specific code","static const platform = MethodChannel('samples.flutter.dev/battery'); final int result = await platform.invokeMethod('getBatteryLevel');","Lạm dụng Method Channels cho các logic đơn giản có thể viết bằng Dart, gây khó khăn cho việc bảo trì đa nền tảng."
Sliver App Bar with Persistence,UI/UX,"sliver, appbar, flexible, scroll, hiệu ứng cuộn","Tạo tiêu đề ứng dụng có khả năng co giãn, thay đổi kích thước hoặc biến mất/xuất hiện linh hoạt khi người dùng cuộn danh sách.","CustomScrollView, SliverAppBar, FlexibleSpaceBar","CustomScrollView(slivers: [SliverAppBar(expandedHeight: 200, flexibleSpace: FlexibleSpaceBar(title: Text('Title')), floating: true)]);","Đặt SliverAppBar bên trong SingleChildScrollView thông thường thay vì sử dụng CustomScrollView."
Isolate for Heavy Computation,Performance,"isolate, multi-thread, heavy task, lag UI, xử lý dữ liệu","Chuyển các tác vụ tính toán nặng (như parse JSON lớn hoặc xử lý ảnh) sang một Isolate riêng biệt để tránh làm chặn (jank) luồng giao diện chính.","Isolate.run, compute function","final result = await Isolate.run(() => heavyTask(data));","Thực hiện các phép toán phức tạp trực tiếp trên Main Isolate khiến giao diện bị đơ (frozen) trong vài giây."
Image Caching (CachedNetworkImage),Performance,"cache, image, network, loading, lưu ảnh","Sử dụng thư viện chuyên dụng để lưu trữ ảnh từ internet vào bộ nhớ máy, giúp giảm băng thông và hiển thị ảnh ngay lập tức ở lần truy cập sau.","CachedNetworkImage, BaseCacheManager","CachedNetworkImage(imageUrl: 'url', placeholder: (context, url) => CircularProgressIndicator(), errorWidget: (context, url, error) => Icon(Icons.error));","Sử dụng Image.network trực tiếp cho các danh sách dài mà không có cơ chế cache, gây tốn data và trải nghiệm tải chậm."
Dependency Inversion Principle,Architecture,"solid, decoupling, interface, abstraction, clean architecture","Phụ thuộc vào các interface (lớp trừu tượng) thay vì các lớp cụ thể, giúp dễ dàng thay đổi implementation mà không ảnh hưởng đến code hiện tại.","Abstract class, Interface","abstract class AuthSource { Future login(); } class FirebaseAuth implements AuthSource { ... }","Khai báo và sử dụng trực tiếp các class cụ thể của library bên thứ ba khắp nơi trong ứng dụng."
Extension Methods,Logic,"extension, clean code, utility, helper, mở rộng class","Thêm các phương thức mới vào các lớp hiện có (như String, BuildContext) mà không cần kế thừa, giúp code gọn gàng và dễ đọc hơn.","extension keyword","extension StringExt on String { bool get isValidEmail => contains('@'); } // Usage: 'a@b.com'.isValidEmail;","Tạo quá nhiều extension cho các logic nghiệp vụ phức tạp, làm khó khăn trong việc tìm kiếm nơi định nghĩa hàm."
Overlay Entry for Global UI,UI/UX,"overlay, toast, tooltip, float, UI toàn cục","Hiển thị các phần tử giao diện nổi lên trên tất cả các widget khác (như custom toast, dẫn hướng người dùng) mà không phụ thuộc vào cây Widget hiện tại.","Overlay, OverlayEntry, LayerLink","OverlayEntry entry = OverlayEntry(builder: (context) => Positioned(top: 100, child: Material(child: Text('Floating')))); Overlay.of(context).insert(entry);","Quên gọi entry.remove() khi không còn sử dụng, dẫn đến rò rỉ bộ nhớ và các widget nổi chồng chéo."
WebSockets for Real-time,Logic,"websocket, real-time, chat, socket.io, cập nhật trực tiếp","Duy trì kết nối hai chiều liên tục giữa client và server để nhận dữ liệu ngay lập tức (như ứng dụng chat, giá chứng khoán).","web_socket_channel, StreamBuilder","final channel = WebSocketChannel.connect(Uri.parse('ws://echo.websocket.org')); channel.sink.add('hello'); StreamBuilder(stream: channel.stream, ...);","Mở kết nối WebSocket nhưng không đóng (close) khi widget bị dispose hoặc ứng dụng chuyển sang background."
Unit Testing for Logic,Testing,"unit test, logic, test drive, chất lượng, đảm bảo code","Viết các đoạn mã kiểm thử cho từng hàm hoặc lớp riêng lẻ để đảm bảo logic hoạt động chính xác và không bị lỗi khi refactor.","test package, expect, mockito","test('Counter value should be incremented', () { final counter = Counter(); counter.increment(); expect(counter.value, 1); });","Viết code logic lồng chặt vào UI khiến không thể viết Unit Test mà phải chạy toàn bộ app."
Widget Testing,Testing,"widget test, UI test, component, tìm widget, mô phỏng tương tác","Kiểm tra một widget đơn lẻ trong môi trường giả lập để xác nhận giao diện hiển thị đúng và phản hồi chính xác với các sự kiện người dùng (tap, scroll).","testWidgets, pumpWidget, find","testWidgets('Counter increments smoke test', (tester) async { await tester.pumpWidget(MyApp()); await tester.tap(find.byIcon(Icons.add)); await tester.pump(); expect(find.text('1'), findsOneWidget); });","Bỏ qua việc test các trường hợp lỗi (error boundary) của widget mà chỉ tập trung vào luồng thành công (happy path)."
Golden Tests,Testing,"golden test, visual regression, snapshot, giao diện, so sánh ảnh","Chụp ảnh màn hình của widget và so sánh với một file ảnh mẫu (Golden file) để phát hiện bất kỳ thay đổi nhỏ nào về giao diện (pixel-perfect).","flutter_goldens, matchesGoldenFile","await expectLater(find.byType(MyWidget), matchesGoldenFile('main.png'));","Sử dụng Golden Tests trên các máy tính có độ phân giải màn hình hoặc hệ điều hành khác nhau dẫn đến test fail sai lệch."
Biometric Authentication,Security,"biometric, faceid, fingerprint, bảo mật, vân tay","Tích hợp xác thực vân tay hoặc khuôn mặt để tăng cường bảo mật cho các thao tác nhạy cảm như đăng nhập hoặc thanh toán.","local_auth, LocalAuthentication","final auth = LocalAuthentication(); bool didAuthenticate = await auth.authenticate(localizedReason: 'Please authenticate to proceed');","Sử dụng xác thực sinh trắc học như là phương thức duy nhất mà không có phương án dự phòng (fallback) bằng mã PIN."
SSL Pinning,Security,"ssl pinning, security, mitm, bảo mật mạng, chứng chỉ","Giới hạn các chứng chỉ SSL được chấp nhận bởi ứng dụng để ngăn chặn các cuộc tấn công Man-in-the-Middle (MitM) thông qua proxy.","http_certificate_pinning, Dio Interceptor","Dio()..interceptors.add(CertificatePinningInterceptor(allowedSHAFingerprints: ['...']));","Sử dụng SSL Pinning với các chứng chỉ có thời hạn quá ngắn mà không có cơ chế cập nhật tự động (OTA)."
Code Obfuscation,Security,"obfuscation, reverse engineering, bảo mật, dịch ngược, bảo vệ code","Làm xáo trộn mã nguồn khi build release để khiến các công cụ dịch ngược (decompiler) khó đọc và hiểu logic của ứng dụng.","--obfuscate, --split-debug-info","flutter build apk --obfuscate --split-debug-info=/","Không lưu lại file debug symbols (mapping file), dẫn đến việc không thể đọc được stack trace khi app gặp lỗi trên production."
Hero Animations,UI/UX,"hero, animation, transition, chuyển cảnh, mượt mà","Tạo hiệu ứng bay và biến đổi một phần tử (như ảnh sản phẩm) từ màn hình này sang màn hình khác để tạo sự liên kết thị giác.","Hero, tag","Hero(tag: 'id', child: Image.network('...')) // Màn hình 1 Hero(tag: 'id', child: Image.network('...')) // Màn hình 2","Sử dụng cùng một tag cho nhiều widget Hero trên cùng một màn hình, gây ra lỗi trùng lặp tag."
Pull to Refresh,UI/UX,"refresh, swipe, update, tải lại, trải nghiệm","Cho phép người dùng kéo danh sách xuống để kích hoạt việc tải lại dữ liệu mới nhất từ server.","RefreshIndicator, onRefresh","RefreshIndicator(onRefresh: () async => await controller.refreshData(), child: ListView(...));","Thực hiện các tác vụ đồng bộ hoặc quá lâu trong hàm onRefresh mà không dùng await, khiến vòng xoay loading biến mất ngay lập tức."
Sticky Headers,UI/UX,"sticky, header, scroll, danh sách, phân nhóm","Giữ tiêu đề của một nhóm dữ liệu luôn nằm ở phía trên cùng của màn hình khi người dùng cuộn qua nhóm đó.","sticky_headers, SliverPersistentHeader","StickyHeader(header: Container(...), content: Column(...));","Tự tính toán vị trí cuộn để ghim header bằng tay, gây tốn hiệu năng và code phức tạp không cần thiết."
Haptic Feedback,UI/UX,"haptic, vibration, feedback, rung, xúc giác","Cung cấp các phản hồi rung nhẹ khi người dùng thực hiện các thao tác như nhấn nút, chọn ngày tháng để tăng cảm giác thực tế.","HapticFeedback, vibration","HapticFeedback.lightImpact();","Lạm dụng rung quá mạnh hoặc quá thường xuyên gây khó chịu cho người dùng và tốn pin."
State Restoration,Architecture,"state restoration, persistence, background, khôi phục trạng thái","Lưu lại trạng thái của ứng dụng (vị trí cuộn, nội dung form) khi bị hệ điều hành tắt để khôi phục lại y hệt khi người dùng quay lại.","RestorationManager, RestorableProperty","class _MyState extends State with RestorationMixin { final _count = RestorableInt(0); @override String? get restorationId => 'counter'; }","Bỏ qua việc lưu trạng thái các form nhập liệu dài, khiến người dùng phải nhập lại từ đầu nếu app bị reload."
Environment Variables (flutter_dotenv),Architecture,"env, config, secret, biến môi trường, bảo mật","Tách biệt các thông số cấu hình (API Key, Base URL) ra khỏi mã nguồn bằng cách sử dụng file .env để dễ dàng quản lý theo môi trường (Dev/Staging/Prod).","flutter_dotenv, .env file","await dotenv.load(fileName: '.env'); String apiKey = dotenv.env['API_KEY']!;","Commit file .env chứa các bí mật (secrets) thực tế lên các kho lưu trữ mã nguồn công khai (GitHub)."
QR Code Scanning,Logic,"qr, scan, camera, barcode, mã vạch","Tích hợp khả năng quét mã QR hoặc mã vạch bằng camera để nhận diện thông tin nhanh chóng.","mobile_scanner, qr_code_scanner","MobileScanner(onDetect: (capture) { final List barcodes = capture.barcodes; ... });","Không xin quyền truy cập camera (permission) trước khi mở trình quét, dẫn đến crash hoặc lỗi màn hình đen."
Debounced Button Press,Logic,"debounce, throttle, click, double tap, hiệu năng","Ngăn chặn người dùng nhấn một nút quá nhanh nhiều lần liên tiếp (như nút thanh toán) để tránh gửi nhiều yêu cầu trùng lặp tới server.","Easy Debounce, Timer","ElevatedButton(onPressed: () => Debouncer(milliseconds: 500).run(() => submit()), child: Text('Submit'));","Chỉ vô hiệu hóa nút (disabled) ở phía UI mà không có logic xử lý chặn ở tầng nghiệp vụ hoặc server."
